folder,condition,peroxisome,vacuole,ER,golgi,mitochondria,LD,non-organelle,growth-rate
EYrainbow_leucine,0.0,0.0230102402932822,0.14928463504988285,0.14563674548617117,0.014805393746642052,0.0,0.0,0.6672629854240222,0.0623892722993495
EYrainbow_leucine,25.0,0.018784422220193706,0.14270716834336836,0.1148893621862297,0.00655587468745535,0.0,0.0,0.7170631725627533,0.0916601390409847
EYrainbow_leucine,50.0,0.019150587998799942,0.08175687996809512,0.11579552083457846,0.008100608793603338,0.0,0.0,0.775196402404923,0.1940463415929069
EYrainbow_leucine,75.0,0.0196270325851875,0.05374363956461413,0.10741571599429074,0.011492052893677064,0.0,0.0,0.80772155896223,0.3031315640536479
EYrainbow_leucine,100.0,0.02059622459756648,0.04046196338255117,0.125132288314524,0.004058339469826886,0.0,0.0,0.8097511842355312,0.3623260652609492
EYrainbow_leucine_large,0.0,0.010353704777884495,0.18525691157102508,0.15680782426177117,0.01997839840085737,0.2434344558120562,0.04138032474788104,0.34278838042852455,0.1007487883855575
EYrainbow_leucine_large,25.0,0.013930984939180305,0.1749049611441769,0.16136222796651775,0.02293761767869745,0.2666331609569685,0.031063987590671166,0.3291670597237881,0.1664200993119909
EYrainbow_leucine_large,50.0,0.009006960122898068,0.11968231918750755,0.15611223636331648,0.017896626203741342,0.2512608458264128,0.03382599529282182,0.4122150170033011,0.2239700297559932
EYrainbow_leucine_large,75.0,0.009386375185926058,0.08340857245198217,0.16671480993105883,0.018322264032978763,0.21435335400898708,0.05019054812124053,0.4576240762678267,0.4347832636218349
EYrainbow_leucine_large,100.0,0.01761789350278279,0.07176201402491683,0.19413878230806955,0.037875848929729394,0.19679574199889402,0.037102091425574156,0.4447076278100343,0.5156637123236613
EYrainbow_rapamycin_1stTry,0.0,0.017563994775252823,0.04673339369125918,0.15570727140634036,0.03153332294469149,0.14696629095208363,0.02946742674474284,0.5720282994856298,0.5086999325251468
EYrainbow_rapamycin_1stTry,100.0,0.018973890687918715,0.052724647878076764,0.18571099686275735,0.04939242828450194,0.1958104067485386,0.042435356051174,0.4549522734870323,0.4299795479981529
EYrainbow_rapamycin_1stTry,200.0,0.01820776367878448,0.06625808728214215,0.180615549802004,0.04739103832182045,0.17438108070085967,0.040625090891849146,0.47252138932254023,0.4207304260796529
EYrainbow_rapamycin_1stTry,400.0,0.017142482316216068,0.11384754291440298,0.13416644163102745,0.034385412425753756,0.18783415620659208,0.02837210653061901,0.4842518579753887,0.2068316673950961
EYrainbow_rapamycin_1stTry,1000.0,0.015246635172203182,0.10415039894961424,0.1278118737082037,0.031580313548953354,0.1878406917228746,0.02706089368268384,0.5063091932154665,0.2011211092472894
EYrainbow_rapamycin_CheckBistability,0.0,0.039256212493567255,0.05749375250134118,0.17476446277751645,0.0074841303837352505,0.2038385273208292,0.05593209700846811,0.46123081751454376,0.4875611238827542
EYrainbow_rapamycin_CheckBistability,100.0,0.034280384053514336,0.053304679311676664,0.15817978761565374,0.050585630908987926,0.20633072660595161,0.06583426594109461,0.4314845255631206,0.4512327051708861
EYrainbow_rapamycin_CheckBistability,150.0,0.0383075350654896,0.05981575846725949,0.15563766133748852,0.04448418951723479,0.23975508656231834,0.05457968818889344,0.4074200808613165,0.4383533587654323
EYrainbow_rapamycin_CheckBistability,200.0,0.03626135015902807,0.05805132618050134,0.16046953192645236,0.04981202335100093,0.24052247941257532,0.046401083592303216,0.40848220537813906,0.3988351356892737
EYrainbow_rapamycin_CheckBistability,250.0,0.03753635205887302,0.10929927062819464,0.13802670982778628,0.04576663276522567,0.23142688202745856,0.03648788003783773,0.4014562726546238,0.3039519915778806
EYrainbow_rapamycin_CheckBistability,300.0,0.03597838070616337,0.13117188404482424,0.1336785179606514,0.046471715309638714,0.19351846964080371,0.04567867077210439,0.41350236156581505,0.2698291215745216
