experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
glu,0-5,3,1,37,142,140.4718309859155,276.07042253521126,135,270,148,284,0.5225948010642006
glu,0-5,3,1,38,171,145.7251461988304,238.05847953216374,138,232,155,245,0.6553933652063993
glu,0-5,3,1,39,244,146.7172131147541,298.0860655737705,138,289,156,308,0.683137356574494
glu,0-5,3,1,40,41,146.8780487804878,60.41463414634146,144,57,151,65,0.5066445605434431
glu,0-5,3,1,41,156,146.60897435897436,351.6730769230769,138,345,155,360,0.7740218284018794
glu,0-5,3,1,42,197,159.63451776649745,456.21319796954316,151,450,170,464,0.6793285950906904
glu,0-5,3,1,43,267,163.55805243445693,58.63670411985019,153,52,176,67,0.7777931595152289
glu,0-5,3,1,44,352,162.98863636363637,260.51420454545456,153,250,174,272,0.42081797415922856
glu,0-5,3,1,45,313,167.0958466453674,318.7092651757188,155,311,180,328,0.7739951369943666
glu,0-5,3,1,46,59,177.864406779661,492.8305084745763,174,489,183,498,0.5587354331402283
glu,0-5,3,1,47,284,180.45070422535213,303.59859154929575,170,295,191,314,0.5513622016270874
glu,0-5,3,1,48,152,188.7565789473684,178.56578947368422,181,173,197,186,0.6790318679806047
glu,0-5,3,1,49,251,191.74103585657372,490.9840637450199,182,483,202,501,0.5124210881301204
glu,0-5,3,1,50,375,197.28,333.144,185,324,211,343,0.6824799991546756
glu,0-5,3,1,51,209,209.0334928229665,107.96650717703349,201,101,219,117,0.6630965750590831
glu,0-5,3,1,52,338,212.72189349112426,219.0207100591716,202,210,226,230,0.6246355922445259
glu,0-5,3,1,53,192,215.28645833333334,349.8333333333333,207,343,224,358,0.6094744252245892
glu,0-5,3,1,54,134,235.50746268656715,44.02985074626866,229,38,242,51,0.3873998871806719
glu,0-5,3,1,55,61,238.95081967213116,482.72131147540983,235,479,244,488,0.6840881989684308
glu,0-5,3,1,56,139,239.3453237410072,259.0791366906475,233,252,247,266,0.22233662801944906
glu,0-5,3,1,57,196,243.73469387755102,172.78571428571428,237,165,252,182,0.49695513309597106
glu,0-5,3,1,58,112,247.17857142857142,468.58035714285717,242,462,254,476,0.7798382557565186
glu,0-5,3,1,60,213,249.36150234741785,286.9906103286385,239,281,260,294,0.7831912722620639
glu,0-5,3,1,61,311,253.35369774919613,47.20578778135048,243,38,265,57,0.7546219114700317
glu,0-5,3,1,62,229,252.3886462882096,271.90393013100436,243,264,262,280,0.6399120419486772
glu,0-5,3,1,63,53,269.22641509433964,267.8679245283019,265,264,274,272,0.5718716674934454
glu,0-5,3,1,64,209,272.7894736842105,45.63157894736842,265,38,281,55,0.6888754069366955
glu,0-5,3,1,65,154,275.64935064935065,162.57792207792207,270,155,282,171,0.5930091635928184
glu,0-5,3,1,66,261,275.6896551724138,252.71264367816093,268,243,284,264,0.6818346951038102
glu,0-5,3,1,67,357,280.30252100840335,181.58823529411765,270,171,291,193,0.621472253517615
glu,0-5,3,1,69,183,283.88524590163934,233.9344262295082,278,226,291,244,0.6729987070585846
glu,0-5,3,1,70,235,299.73191489361704,282.17021276595744,291,274,310,292,0.6738845269421329
glu,0-5,3,1,71,282,303.2269503546099,239.01063829787233,294,230,315,248,0.5095205499616298
glu,0-5,3,1,73,153,314.96078431372547,189.09150326797385,309,183,322,198,0.4588915161996931
glu,0-5,3,1,74,137,314.64233576642334,307.7153284671533,308,301,322,315,0.712328361250655
glu,0-5,3,1,76,157,333.2929936305732,51.1656050955414,327,44,341,59,0.7016390059831497
glu,0-5,3,1,77,177,340.683615819209,431.03954802259886,334,424,349,439,0.3572079971808957
glu,0-5,3,1,78,41,346.2926829268293,51.24390243902439,343,48,351,55,0.5705597182239956
glu,0-5,3,1,79,56,345.60714285714283,57.089285714285715,342,52,351,62,0.7301784905803422
glu,0-5,3,1,80,252,350.62698412698415,101.19047619047619,342,92,360,111,0.7547748185418166
glu,0-5,3,1,81,361,356.387811634349,80.81994459833795,345,72,369,91,0.5721185748899102
glu,0-5,3,1,82,243,357.7283950617284,47.58847736625514,349,40,368,57,0.5617063428759648
glu,0-5,3,1,83,112,356.92857142857144,116.67857142857143,351,111,363,123,0.41641218095601196
glu,0-5,3,1,84,259,357.0888030888031,426.87644787644786,347,419,368,436,0.6387769893152716
glu,0-5,3,1,85,122,366.2704918032787,104.44262295081967,361,98,373,112,0.6835041466310813
glu,0-5,3,1,86,332,366.52710843373495,160.86144578313252,355,152,378,171,0.5545122566031693
glu,0-5,3,1,87,103,369.1067961165049,115.70873786407768,364,110,375,122,0.4552717660422714
glu,0-5,3,1,88,173,372.16184971098266,398.87861271676303,364,392,381,406,0.7377675607731232
glu,0-5,3,1,89,202,374.56435643564356,129.2128712871287,366,122,384,137,0.6258466383144563
glu,0-5,3,1,90,198,376.66161616161617,194.87878787878788,370,186,384,207,0.7787237528862901
glu,0-5,3,1,91,272,375.9007352941176,230.3235294117647,366,222,387,239,0.7087500711165062
glu,0-5,3,1,92,57,380.43859649122805,154.10526315789474,377,150,385,159,0.39345658158897057
glu,0-5,3,1,93,177,381.2994350282486,178.24293785310735,373,172,390,185,0.7009731439261786
glu,0-5,3,1,94,164,385.3353658536585,112.85975609756098,379,105,393,121,0.5051705407166306
glu,0-5,3,1,95,66,387.469696969697,396.1515151515151,383,392,393,401,0.4847150727759829
glu,0-5,3,1,96,184,398.1630434782609,121.16304347826087,392,113,405,131,0.658590449343834
