experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
glu,50,3,3,41,186,87.90860215053763,350.7096774193548,81,343,96,359,0.487435808371477
glu,50,3,3,42,252,89.89682539682539,332.12698412698415,82,323,99,342,0.407243527208757
glu,50,3,3,43,110,88.6,112.21818181818182,83,107,95,119,0.2126386232174262
glu,50,3,3,44,217,90.94009216589862,23.419354838709676,84,15,99,33,0.6160453595476836
glu,50,3,3,45,154,94.58441558441558,297.5779220779221,88,291,102,305,0.3902480534241492
glu,50,3,3,46,233,97.87124463519314,123.92703862660944,91,114,106,135,0.6577754855900824
glu,50,3,3,47,151,100.24503311258277,37.66225165562914,94,31,107,46,0.5824731465860348
glu,50,3,3,48,112,100.17857142857143,343.39285714285717,94,338,107,350,0.3452974621644963
glu,50,3,3,49,277,121.17689530685921,381.8231046931408,113,372,131,392,0.5435738388138779
glu,50,3,3,50,126,125.08730158730158,397.75396825396825,119,392,132,405,0.2716918313340134
glu,50,3,3,51,246,127.71138211382114,205.8130081300813,120,197,136,216,0.613782768092176
glu,50,3,3,52,245,128.43673469387755,333.55918367346936,120,325,138,343,0.5496254708747419
glu,50,3,3,53,286,131.85314685314685,115.04545454545455,124,105,141,127,0.6031686698164951
glu,50,3,3,54,171,131.5672514619883,70.5672514619883,125,63,138,80,0.6628519862697074
glu,50,3,3,55,89,130.79775280898878,348.40449438202245,126,344,137,355,0.2949681528928206
glu,50,3,3,56,83,133.65060240963857,459.4698795180723,129,455,139,465,0.4482009555082388
glu,50,3,3,57,256,138.62109375,444.99609375,130,437,148,454,0.43920582170027955
glu,50,3,3,58,253,139.8181818181818,90.06719367588933,132,81,149,100,0.6372128714368359
glu,50,3,3,59,84,139.83333333333334,158.35714285714286,135,154,146,164,0.4978143626080252
glu,50,3,3,60,266,144.0751879699248,198.79323308270676,136,189,154,209,0.45039750889781727
glu,50,3,3,61,235,145.54893617021276,72.11489361702128,138,63,155,82,0.5289098210530901
glu,50,3,3,62,125,143.944,397.68,138,392,151,404,0.37409660600433364
glu,50,3,3,63,145,145.86206896551724,106.43448275862069,140,100,153,114,0.5366777352330008
glu,50,3,3,64,313,149.55271565495207,275.1821086261981,140,266,160,286,0.24451764414149574
glu,50,3,3,65,139,150.2158273381295,165.3525179856115,143,160,158,172,0.6196029992254943
glu,50,3,3,66,131,150.06870229007635,329.03053435114504,144,323,157,336,0.42174183347733674
glu,50,3,3,67,113,148.9203539823009,482.4424778761062,144,477,155,489,0.3930424324471282
glu,50,3,3,68,158,152.4367088607595,20.246835443037973,146,13,160,28,0.5697715310662144
glu,50,3,3,69,185,154.48648648648648,152.54054054054055,146,146,164,160,0.6665323731209436
glu,50,3,3,70,150,153.92,212.92,147,206,161,221,0.37413981582131095
glu,50,3,3,71,175,153.57142857142858,496.7257142857143,147,489,161,505,0.5915728444429376
glu,50,3,3,72,78,153.67948717948718,82.92307692307692,148,78,159,88,0.5466118734101326
glu,50,3,3,73,168,154.95833333333334,178.8154761904762,148,172,163,186,0.5657919117115615
glu,50,3,3,74,175,156.73142857142858,390.92571428571426,150,383,164,400,0.5997869889729563
glu,50,3,3,75,170,158.71764705882353,193.23529411764707,151,187,167,201,0.6888353605912916
glu,50,3,3,76,166,158.57831325301206,315.06024096385545,152,308,167,323,0.649120980343701
glu,50,3,3,77,280,162.18571428571428,339.90714285714284,154,330,172,350,0.49226032356627264
glu,50,3,3,78,214,165.47196261682242,123.58878504672897,157,116,175,132,0.6071707081431508
glu,50,3,3,79,216,166.20833333333334,171.34722222222223,158,162,175,181,0.7561605963240372
glu,50,3,3,80,223,165.8609865470852,486.86547085201795,158,479,175,496,0.42437480583013504
glu,50,3,3,81,75,166.61333333333334,501.62666666666667,162,497,172,507,0.3100436620877283
glu,50,3,3,82,291,171.4742268041237,439.7697594501718,163,430,181,451,0.5100446100997219
glu,50,3,3,83,230,171.7,323.5608695652174,164,311,180,334,0.7467700667517914
glu,50,3,3,84,277,180.39350180505414,238.42238267148014,172,229,189,249,0.6062035777091396
glu,50,3,3,85,251,181.23505976095618,266.53386454183266,173,258,191,276,0.5695756681214769
glu,50,3,3,86,64,181.171875,252.96875,177,249,186,258,0.5470105900733012
glu,50,3,3,87,167,183.67065868263472,451.1317365269461,177,444,191,459,0.3891442463709059
