organelle,wavelength,intensity,experiment,field_of_view
peroxisome,503.735,0.29057607016949977,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
vacuole,463.8,0.4273959716106067,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
vacuole,473.78,0.4670933815605202,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
vacuole,483.765,0.6177761843642378,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
vacuole,493.745,0.7649466306620754,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
vacuole,503.735,0.3622283350077912,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-4
peroxisome,463.8,0.4682054716347744,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
peroxisome,473.78,0.7939460279893334,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
peroxisome,483.765,0.7449894265485687,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
peroxisome,493.745,0.6613690779560168,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
peroxisome,503.735,0.2871456112179626,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
vacuole,463.8,0.4259761289015008,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
vacuole,473.78,0.4694855757496265,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
vacuole,483.765,0.6167686572049551,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
vacuole,493.745,0.7689280975166157,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
vacuole,503.735,0.3657911158132211,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
peroxisome,463.8,0.4337110552377697,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
peroxisome,473.78,0.782830377872081,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
peroxisome,483.765,0.7304000655294139,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
peroxisome,493.745,0.6529889157195302,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
peroxisome,503.735,0.2621096664634118,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
vacuole,463.8,0.390129198844235,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
vacuole,473.78,0.4805383892745359,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
vacuole,483.765,0.59303473706145,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
vacuole,493.745,0.7440471260676036,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
vacuole,503.735,0.3216939676949218,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
peroxisome,463.8,0.44579193791803867,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
peroxisome,473.78,0.778651226331211,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
peroxisome,483.765,0.7327736634072545,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
peroxisome,493.745,0.6536586889344255,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
peroxisome,503.735,0.26158449853416904,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
vacuole,463.8,0.40461765116977133,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
