organelle,wavelength,intensity,experiment,field_of_view
mitochondria,570.885,0.6099930292626201,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
mitochondria,580.875,0.5202845899791158,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
mitochondria,590.87,0.5323922382618825,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
mitochondria,600.865,0.6706346059391375,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
mitochondria,610.86,0.28200683669164395,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
LD,570.885,0.5056883448235735,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
LD,580.875,0.5045449667472587,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
LD,590.87,0.5701721784048616,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
LD,600.865,0.7193412099906821,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
LD,610.86,0.3509019314650684,EYrainbow_glucose,spectral-blue_EYrainbow_glu-0_field-5
mitochondria,570.885,0.5538034608078679,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
mitochondria,580.875,0.5308575933726377,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
mitochondria,590.87,0.49840823751175967,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
mitochondria,600.865,0.6606256968276778,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
mitochondria,610.86,0.24927094709067776,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
LD,570.885,0.46877745153093603,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
LD,580.875,0.5129365672595046,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
LD,590.87,0.52251814038988,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
LD,600.865,0.6989757929956673,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
LD,610.86,0.31931545333574146,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-0
mitochondria,570.885,0.5794232817921535,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
mitochondria,580.875,0.5329671059595197,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
mitochondria,590.87,0.5086168444370709,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
mitochondria,600.865,0.6633281062003804,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
mitochondria,610.86,0.238696486986271,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
LD,570.885,0.5089494587995272,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
LD,580.875,0.5190499868248971,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
LD,590.87,0.5298399116930987,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
LD,600.865,0.69429543666342,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
LD,610.86,0.28969663685163105,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-1
mitochondria,570.885,0.5957194753358787,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
mitochondria,580.875,0.5284733968466834,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
mitochondria,590.87,0.5106212329228038,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
mitochondria,600.865,0.6670076858790275,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
mitochondria,610.86,0.24024044377931755,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
LD,570.885,0.5443166914512707,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
LD,580.875,0.5177620304332455,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
LD,590.87,0.5229913920961752,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
LD,600.865,0.6873564565529726,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
LD,610.86,0.2777802066755993,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-2
mitochondria,570.885,0.6299059158192348,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
mitochondria,580.875,0.5329706197242988,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
mitochondria,590.87,0.5209841659706479,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
mitochondria,600.865,0.6596505800163407,EYrainbow_glucose,spectral-blue_EYrainbow_glu-100_field-3
