experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
leu,25,3,3,34,169,218.46745562130178,321.4674556213018,212,314,226,330,0.30269250733914277
leu,25,3,3,35,136,223.125,64.375,217,58,230,72,0.47854001197173546
leu,25,3,3,36,228,230.03508771929825,304.87719298245617,222,296,239,314,0.5007784119199756
leu,25,3,3,37,245,233.05714285714285,130.0408163265306,224,122,243,139,0.5125471243374936
leu,25,3,3,38,410,250.14634146341464,75.60975609756098,239,64,262,88,0.3578904545814499
leu,25,3,3,39,248,251.33064516129033,427.26209677419354,243,418,260,439,0.5246623107710002
leu,25,3,3,40,142,252.50704225352112,93.2394366197183,246,88,260,100,0.4672511046477296
leu,25,3,3,41,396,259.64141414141415,445.02272727272725,250,432,270,458,0.5632374047890452
leu,25,3,3,42,239,260.4769874476987,206.99163179916317,253,198,269,217,0.618221544479482
leu,25,3,3,43,130,268.5615384615385,221.03076923076924,263,214,276,228,0.3151979189545161
leu,25,3,3,44,72,267.9861111111111,431.0138888888889,263,427,273,437,0.49484432729157474
leu,25,3,3,45,167,275.1736526946108,209.96407185628743,269,202,283,219,0.4712269128719072
leu,25,3,3,46,158,284.1645569620253,441.7278481012658,277,435,293,449,0.6193149004757148
leu,25,3,3,47,128,283.7734375,200.9296875,278,194,292,209,0.34463006688160436
leu,25,3,3,48,346,288.4450867052023,185.82080924855492,279,175,299,199,0.4346404822564482
leu,25,3,3,49,253,288.9683794466403,167.29249011857706,280,159,300,176,0.538410132617545
leu,25,3,3,50,330,291.0212121212121,215.66969696969696,282,205,302,227,0.38589928598875295
leu,25,3,3,51,251,292.0597609561753,235.0199203187251,284,226,302,245,0.3663003465819427
leu,25,3,3,52,183,296.120218579235,450.6666666666667,289,444,305,459,0.4546626613646731
leu,25,3,3,53,227,299.6916299559471,200.26431718061673,291,191,309,210,0.40898556956423787
leu,25,3,3,54,388,304.11340206185565,155.02835051546393,293,144,315,168,0.39912794255401723
leu,25,3,3,55,243,306.17283950617286,185.54732510288065,299,176,315,196,0.6015715697018159
leu,25,3,3,56,311,309.1254019292605,240.53376205787782,300,230,320,251,0.5191098467416129
leu,25,3,3,57,218,307.9449541284404,214.77981651376146,301,206,318,225,0.4270035576218111
leu,25,3,3,58,381,312.76115485564304,441.43307086614175,302,431,327,453,0.49935169002975904
leu,25,3,3,59,277,314.01805054151623,171.34296028880865,304,162,324,182,0.3375748279223834
leu,25,3,3,60,273,314.5238095238095,422.007326007326,306,413,324,432,0.43705962779442326
leu,25,3,3,61,243,319.3168724279835,225.09465020576133,310,217,329,234,0.5243272196664717
leu,25,3,3,62,364,328.30494505494505,334.9120879120879,318,324,340,347,0.478981429472447
leu,25,3,3,63,99,323.7171717171717,242.07070707070707,319,237,330,248,0.3139813649574235
leu,25,3,3,64,183,336.05464480874315,135.92349726775956,329,129,345,144,0.49571670440599414
leu,25,3,3,65,321,347.01246105919006,342.1059190031153,337,332,358,353,0.35060615506749976
leu,25,3,3,66,160,345.85,307.6875,339,301,354,316,0.20989653831655264
leu,25,3,3,67,204,349.0147058823529,130.0392156862745,342,122,357,140,0.6179719814879066
leu,25,3,3,68,208,354.15865384615387,286.0144230769231,347,278,362,295,0.4723828189603259
leu,25,3,3,69,264,358.1060606060606,317.7310606060606,349,307,368,327,0.5707482994833897
leu,25,3,3,70,238,357.6386554621849,388.96638655462186,349,380,367,398,0.27866978783796464
leu,25,3,3,71,229,360.2882096069869,299.72052401746726,351,292,370,309,0.5114947016971346
leu,25,3,3,72,258,363.04651162790697,334.00387596899225,353,326,373,343,0.591177786273159
leu,25,3,3,73,421,370.3919239904988,373.71971496437055,359,363,383,386,0.46205745466998843
leu,25,3,3,74,257,372.8988326848249,311.28793774319064,364,302,382,321,0.4243959790694128
leu,25,3,3,75,151,377.19867549668874,227.60264900662253,371,221,385,236,0.4089274624158971
leu,25,3,3,76,227,385.44493392070484,360.10132158590307,376,352,395,369,0.4125249703138031
leu,25,3,3,77,265,390.40377358490565,235.73962264150944,381,227,401,245,0.46492519332357246
leu,25,3,3,78,230,389.5826086956522,376.2695652173913,382,368,399,386,0.07035453902313131
leu,25,3,3,79,127,399.8267716535433,366.88188976377955,394,361,406,375,0.5813242525446525
leu,25,3,3,80,261,414.2298850574713,367.5593869731801,406,359,424,377,0.5406602928937488
leu,25,3,3,81,155,415.71612903225804,347.3290322580645,410,340,423,355,0.6085663590713821
leu,25,3,3,82,229,417.51091703056767,384.4061135371179,410,377,427,394,0.1309096796347302
leu,25,3,3,83,256,431.20703125,455.89453125,422,448,442,465,0.4576275318083627
leu,25,3,3,84,271,456.02952029520293,189.51291512915128,447,181,466,199,0.5051490000250228
leu,25,3,3,85,230,470.39565217391305,243.77391304347827,462,235,479,253,0.38376947107414705
leu,25,3,3,86,169,479.20710059171597,204.81656804733728,472,198,488,213,0.5758534360781612
leu,25,3,3,87,196,480.484693877551,44.19897959183673,473,37,489,53,0.36388945634838965
leu,25,3,3,88,204,480.7352941176471,350.23039215686276,473,343,490,359,0.43937738517222275
leu,25,3,3,90,267,483.4943820224719,219.2996254681648,474,210,495,228,0.5839405307304711
leu,25,3,3,91,604,492.8956953642384,175.28807947019868,480,160,507,192,0.48646939314702564
leu,25,3,3,92,198,490.7828282828283,14.303030303030303,483,7,499,23,0.5799320021197424
leu,25,3,3,93,238,492.87394957983196,201.07142857142858,485,192,501,211,0.6139607979650179
leu,25,3,3,94,418,498.0406698564593,149.44497607655504,487,138,510,162,0.19787953227295915
leu,25,3,3,95,330,498.3666666666667,230.35757575757575,489,220,509,242,0.4327980512242855
leu,25,3,3,96,287,498.13937282229966,353.70034843205576,489,344,508,364,0.41387851723110597
