filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/LD_EYrainbow_glu-50_field-0,LD,3837,8119803,0.5760396336886353,1219.0066056147725
EYrainbow_glucose/LD_EYrainbow_glu-50_field-1,LD,3555,8120001,0.5500541544174532,1256.3826396410336
EYrainbow_glucose/LD_EYrainbow_glu-50_field-2,LD,7975,8111789,0.5434412265758092,552.7624531516184
EYrainbow_glucose/LD_EYrainbow_glu-50_field-3,LD,8582,8109913,0.5185185185185185,489.9953477131291
EYrainbow_glucose/LD_EYrainbow_glu-50_field-4,LD,9293,8108640,0.5213756732495511,454.92818671454216
EYrainbow_glucose/LD_EYrainbow_glu-50_field-5,LD,10302,8107104,0.5321280991735537,418.75537190082645
EYrainbow_glucose/LD_EYrainbow_glu-5_field-0,LD,6125,8116669,0.6253190403266973,828.654313425217
EYrainbow_glucose/LD_EYrainbow_glu-5_field-1,LD,11773,8109012,0.6745931698372679,464.6465734586294
EYrainbow_glucose/LD_EYrainbow_glu-5_field-2,LD,16261,8101812,0.6596219373681649,328.6472497160474
EYrainbow_glucose/LD_EYrainbow_glu-5_field-3,LD,8705,8112883,0.6409690008099551,597.3700758412488
EYrainbow_glucose/LD_EYrainbow_glu-5_field-4,LD,10570,8110786,0.6741931368797041,517.335501977293
EYrainbow_glucose/LD_EYrainbow_glu-5_field-5,LD,8011,8114274,0.6571780147662019,665.6500410172272
EYrainbow_glucose/LD_EYrainbow_glu-5_field-6,LD,12217,8108335,0.6738926581719896,447.2577086436097
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-0,mitochondria,35093,7857013,0.1302388931568263,29.159338803715702
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-1,mitochondria,30425,7884130,0.12554986093573334,32.53414708625286
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-2,mitochondria,35267,7837768,0.12215964197633497,27.148862471250034
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-3,mitochondria,29886,7888686,0.1256886675806845,33.17668581618148
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-4,mitochondria,9665,8072170,0.17801230338527277,148.6751758942056
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-5,mitochondria,15440,8002550,0.12460254692770793,64.58148393240474
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-0,mitochondria,28151,7857808,0.10478455720326366,29.248585551783695
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-1,mitochondria,52794,7638875,0.10827561737446907,15.666627015785837
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-2,mitochondria,31422,7840340,0.10981951881002643,27.401895681592595
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-3,mitochondria,8520,8088391,0.22378063194389725,212.44427809733932
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-4,mitochondria,24673,7935730,0.12935816372539768,41.606268415699354
EYrainbow_glucose/mitochondria_EYrainbow_glu-0_field-5,mitochondria,24960,7908482,0.11450486737437036,36.280435999302696
EYrainbow_glucose/mitochondria_EYrainbow_glu-100_field-0,mitochondria,55451,7844202,0.19645223232316075,27.79049960674834
EYrainbow_glucose/mitochondria_EYrainbow_glu-100_field-1,mitochondria,47803,7855716,0.17655901428634746,29.01486252899375
EYrainbow_glucose/mitochondria_EYrainbow_glu-100_field-2,mitochondria,70600,7767120,0.19646912151030768,21.61472015673004
EYrainbow_glucose/mitochondria_EYrainbow_glu-100_field-3,mitochondria,59254,7793478,0.17794742121290386,23.404821824340964
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-0,mitochondria,53697,7823901,0.17747378231971522,25.858750078496048
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-1,mitochondria,25561,7965291,0.15859356095623958,49.420752855627185
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-2,mitochondria,26859,7972264,0.1741828793774319,51.700804150453955
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-3,mitochondria,20781,8011596,0.1809120033429676,69.74610857680119
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-4,mitochondria,14392,8036312,0.15964149436507233,89.14180495163724
EYrainbow_glucose/mitochondria_EYrainbow_glu-200_field-5,mitochondria,21788,7991429,0.16135076091383715,59.1804272966268
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-0,mitochondria,47877,7894136,0.20607503185152026,33.978409834372094
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-1,mitochondria,60074,7821753,0.19715074283501416,25.66941462566169
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-2,mitochondria,80414,7675631,0.1783675995324211,17.02544179330262
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-3,mitochondria,102630,7555950,0.17989041460858105,13.244109697570963
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-4,mitochondria,104582,7526820,0.1744068147100613,12.552147607580498
EYrainbow_glucose/mitochondria_EYrainbow_glu-50_field-5,mitochondria,112248,7504877,0.180582927249122,12.073735454570318
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-0,mitochondria,49703,7745067,0.13031827728062884,20.307099950969725
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-1,mitochondria,59031,7685038,0.13372796346386484,17.409572612397096
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-2,mitochondria,94811,7404209,0.13127081155547557,10.251516431177354
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-3,mitochondria,77749,7591773,0.14540921766029352,14.198430495370223
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-4,mitochondria,88365,7498888,0.14080366362002372,11.94897191734547
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-5,mitochondria,54066,7762913,0.14871641117752393,21.35302337223663
EYrainbow_glucose/mitochondria_EYrainbow_glu-5_field-6,mitochondria,90768,7437070,0.13166346095266276,10.78783685381654
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-0,peroxisome,17559,8086815,0.4428611062069661,203.9601250977326
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-1,peroxisome,16733,8089228,0.44937694704049846,217.2421312708132
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-2,peroxisome,16699,8088912,0.4446900298253089,215.4056242011078
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-3,peroxisome,14693,8093267,0.44260023496099044,243.79513209024913
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-4,peroxisome,10605,8102314,0.4391304347826087,335.4995445134576
EYrainbow_glucose/peroxisome_EYrainbow_glu-0-5_field-5,peroxisome,11586,8100590,0.4477854216588081,313.0783798407668
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-0,peroxisome,16755,8089826,0.4573120803537311,220.8042469567116
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-1,peroxisome,30954,8060832,0.4716296928327645,122.81862506094588
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-2,peroxisome,20003,8081822,0.44807580305541866,181.036288696743
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-3,peroxisome,24568,8070061,0.4355796677481694,143.07857738063578
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-4,peroxisome,11833,8098072,0.41677233023386867,285.22372499295574
EYrainbow_glucose/peroxisome_EYrainbow_glu-0_field-5,peroxisome,14085,8093663,0.42940764001097526,246.75049541172524
EYrainbow_glucose/peroxisome_EYrainbow_glu-100_field-0,peroxisome,14703,8092569,0.43378079362737865,238.75406402124207
EYrainbow_glucose/peroxisome_EYrainbow_glu-100_field-1,peroxisome,14362,8092839,0.42712267657992564,240.67922676579926
EYrainbow_glucose/peroxisome_EYrainbow_glu-100_field-2,peroxisome,17261,8083505,0.40180171791708374,188.1679042808259
EYrainbow_glucose/peroxisome_EYrainbow_glu-100_field-3,peroxisome,13761,8092720,0.4078058321479374,239.82693219535324
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-0,peroxisome,16587,8092504,0.48842756183745584,238.29517078916373
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-1,peroxisome,9825,8106642,0.4956613863384119,408.9719503581879
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-2,peroxisome,9663,8106010,0.47242593135816957,396.3043903392979
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-3,peroxisome,7317,8111481,0.48835346726289797,541.3789628245345
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-4,peroxisome,7007,8111099,0.4560364464692483,527.8945004881224
EYrainbow_glucose/peroxisome_EYrainbow_glu-200_field-5,peroxisome,9092,8108331,0.501406275850659,447.15882644901563
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-0,peroxisome,18338,8090690,0.5126069212277072,226.16117850953205
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-1,peroxisome,17223,8088200,0.45010976374660255,211.37884173113108
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-2,peroxisome,25858,8073092,0.48448624747058383,151.26081091208874
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-3,peroxisome,32683,8059855,0.49066942905613353,121.00249215571469
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-4,peroxisome,33179,8059307,0.4940512530339354,120.00695385440088
EYrainbow_glucose/peroxisome_EYrainbow_glu-50_field-5,peroxisome,33067,8060847,0.5039395278662542,122.84692991145587
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-0,peroxisome,14439,8088505,0.3803840986327353,213.08530256329198
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-1,peroxisome,19491,8073067,0.3650205067700433,151.18952375601626
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-2,peroxisome,34438,8034930,0.3762317827255446,87.78082461161972
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-3,peroxisome,23221,8066788,0.3891179033447282,135.17641933105435
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-4,peroxisome,27159,8055760,0.384122539035981,113.93641095270424
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-5,peroxisome,30371,8051635,0.4058720549519571,107.60046238757701
EYrainbow_glucose/peroxisome_EYrainbow_glu-5_field-6,peroxisome,30712,8046377,0.38348296227852213,100.47045088466292
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-0,vacuole,53463,7909840,0.24680090848659428,36.514144323805304
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-1,vacuole,47236,7920263,0.2290774535526016,38.41040053152022
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-2,vacuole,47396,7925964,0.23638902743142146,39.53099251870324
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-3,vacuole,54005,7911881,0.2516741773579454,36.870959022848965
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-4,vacuole,30784,8000985,0.24533188820440074,63.76353812191682
EYrainbow_glucose/vacuole_EYrainbow_glu-0-5_field-5,vacuole,35512,7978522,0.24004001568182126,53.930067188492785
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-0,vacuole,56353,7869848,0.21960049256476602,30.667799357795307
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-1,vacuole,103121,7664600,0.22327135260596193,16.594928377184626
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-2,vacuole,66341,7835810,0.22824733187914154,26.95923675573018
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-3,vacuole,87831,7763854,0.24221891288160835,21.41103113537961
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-4,vacuole,42032,7956602,0.2474479283182819,46.84156550611673
EYrainbow_glucose/vacuole_EYrainbow_glu-0_field-5,vacuole,48413,7933877,0.2513824920685197,41.19632685487598
EYrainbow_glucose/vacuole_EYrainbow_glu-100_field-0,vacuole,60654,7920527,0.2945269669850488,38.46092251513812
EYrainbow_glucose/vacuole_EYrainbow_glu-100_field-1,vacuole,55124,7940327,0.29614746127852065,42.658509592396996
EYrainbow_glucose/vacuole_EYrainbow_glu-100_field-2,vacuole,72360,7890161,0.3062170179811513,33.39001620800413
EYrainbow_glucose/vacuole_EYrainbow_glu-100_field-3,vacuole,54130,7941212,0.29219657547556843,42.86707835812839
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-0,vacuole,58523,7937293,0.30936560043558475,41.95829699055352
EYrainbow_glucose/vacuole_EYrainbow_glu-200_field-1,vacuole,32009,8024490,0.31389373761939315,78.69152921332889
