experiment,filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose,golgi_EYrainbow_glu-0-5_field-5,golgi,179.0,231.0,0.014817880794701987,0.01912251655629139
EYrainbow_glucose,golgi_EYrainbow_glu-0_field-0,golgi,321.0,359.0,0.014030333493596748,0.01569124524673281
EYrainbow_glucose,golgi_EYrainbow_glu-0_field-1,golgi,398.0,495.0,0.015966622537810407,0.019857985317126008
EYrainbow_glucose,golgi_EYrainbow_glu-0_field-2,golgi,266.0,298.0,0.01678445229681979,0.018803634528016155
EYrainbow_glucose,golgi_EYrainbow_glu-0_field-3,golgi,286.0,326.0,0.015613910574875798,0.017797674291641644
EYrainbow_glucose,golgi_EYrainbow_glu-0_field-4,golgi,119.0,157.0,0.014649759940908532,0.019327834543887725
EYrainbow_glucose,golgi_EYrainbow_glu-0_field-5,golgi,192.0,241.0,0.013819909306845174,0.01734686532786295
EYrainbow_glucose,golgi_EYrainbow_glu-100_field-0,golgi,448.0,550.0,0.013918662814179637,0.017087644079908038
EYrainbow_glucose,golgi_EYrainbow_glu-100_field-1,golgi,448.0,464.0,0.015157666802002978,0.015699012044931654
EYrainbow_glucose,golgi_EYrainbow_glu-100_field-2,golgi,497.0,621.0,0.014864662778525497,0.01857335127860027
EYrainbow_glucose,golgi_EYrainbow_glu-100_field-3,golgi,366.0,483.0,0.014668750751472887,0.019357941565468318
EYrainbow_glucose,golgi_EYrainbow_glu-200_field-0,golgi,528.0,564.0,0.014727211871025327,0.01573133995314069
EYrainbow_glucose,golgi_EYrainbow_glu-200_field-1,golgi,239.0,290.0,0.01359963582565153,0.0165016501650165
EYrainbow_glucose,golgi_EYrainbow_glu-200_field-2,golgi,268.0,317.0,0.014759334728494328,0.01745786980945038
EYrainbow_glucose,golgi_EYrainbow_glu-200_field-3,golgi,191.0,215.0,0.01506427951731209,0.016957173278649734
EYrainbow_glucose,golgi_EYrainbow_glu-200_field-4,golgi,115.0,168.0,0.014276846679081317,0.020856610800744878
EYrainbow_glucose,golgi_EYrainbow_glu-200_field-5,golgi,236.0,259.0,0.014730666000873853,0.016166281755196306
EYrainbow_glucose,golgi_EYrainbow_glu-50_field-0,golgi,353.0,450.0,0.012211997509167646,0.015567702207154224
EYrainbow_glucose,golgi_EYrainbow_glu-50_field-1,golgi,310.0,411.0,0.012481378588396343,0.016547892257519025
EYrainbow_glucose,golgi_EYrainbow_glu-50_field-2,golgi,320.0,360.0,0.012159440665729377,0.013679370748945548
EYrainbow_glucose,golgi_EYrainbow_glu-50_field-3,golgi,393.0,485.0,0.013546585777808418,0.01671779669780428
EYrainbow_glucose,golgi_EYrainbow_glu-50_field-4,golgi,365.0,424.0,0.014237790606958964,0.01653924169137151
EYrainbow_glucose,golgi_EYrainbow_glu-50_field-5,golgi,284.0,357.0,0.01365712911757634,0.01716758836258716
EYrainbow_glucose,golgi_EYrainbow_glu-5_field-0,golgi,350.0,398.0,0.013406366108706477,0.015244953460757651
EYrainbow_glucose,golgi_EYrainbow_glu-5_field-1,golgi,401.0,462.0,0.013293552129951931,0.01531576330183988
EYrainbow_glucose,golgi_EYrainbow_glu-5_field-2,golgi,502.0,636.0,0.014322396576319544,0.018145506419400857
EYrainbow_glucose,golgi_EYrainbow_glu-5_field-3,golgi,245.0,310.0,0.015555555555555555,0.019682539682539683
EYrainbow_glucose,golgi_EYrainbow_glu-5_field-4,golgi,275.0,353.0,0.015686498203182932,0.02013575951172209
EYrainbow_glucose,golgi_EYrainbow_glu-5_field-5,golgi,401.0,514.0,0.014342942985907433,0.01838471993704843
EYrainbow_glucose,golgi_EYrainbow_glu-5_field-6,golgi,212.0,327.0,0.014481863515267436,0.022337591365530433
EYrainbow_glucose,LD_EYrainbow_glu-0-5_field-0,LD,394.0,430.0,0.025950075742606864,0.02832114865309886
EYrainbow_glucose,LD_EYrainbow_glu-0-5_field-1,LD,274.0,331.0,0.024179315213554535,0.029209318743381573
EYrainbow_glucose,LD_EYrainbow_glu-0-5_field-2,LD,383.0,454.0,0.024059300207299454,0.028519379357999874
EYrainbow_glucose,LD_EYrainbow_glu-0-5_field-3,LD,420.0,448.0,0.03003003003003003,0.03203203203203203
EYrainbow_glucose,LD_EYrainbow_glu-0-5_field-4,LD,41.0,47.0,0.02490886998784933,0.028554070473876064
EYrainbow_glucose,LD_EYrainbow_glu-0-5_field-5,LD,229.0,237.0,0.027033408098217446,0.027977806634399718
EYrainbow_glucose,LD_EYrainbow_glu-0_field-0,LD,406.0,411.0,0.02522679259351311,0.02553746737914751
EYrainbow_glucose,LD_EYrainbow_glu-0_field-1,LD,500.0,533.0,0.021794089442943074,0.023232499346177316
EYrainbow_glucose,LD_EYrainbow_glu-0_field-2,LD,251.0,267.0,0.02121186512296121,0.022564015887771488
EYrainbow_glucose,LD_EYrainbow_glu-0_field-3,LD,51.0,53.0,0.02418207681365576,0.025130393551446185
EYrainbow_glucose,LD_EYrainbow_glu-0_field-4,LD,238.0,251.0,0.021640298236042917,0.022822331332969632
EYrainbow_glucose,LD_EYrainbow_glu-0_field-5,LD,262.0,235.0,0.025429486557313405,0.02280889061438416
EYrainbow_glucose,LD_EYrainbow_glu-100_field-0,LD,102.0,121.0,0.014466033186782017,0.0171606864274571
EYrainbow_glucose,LD_EYrainbow_glu-100_field-1,LD,149.0,134.0,0.018546178740353497,0.016679113766492407
EYrainbow_glucose,LD_EYrainbow_glu-100_field-2,LD,168.0,210.0,0.014049172102358254,0.017561465127947817
EYrainbow_glucose,LD_EYrainbow_glu-100_field-3,LD,133.0,125.0,0.014321094002368903,0.013459674814256488
EYrainbow_glucose,LD_EYrainbow_glu-200_field-0,LD,168.0,165.0,0.0200644930132569,0.019706198495163023
EYrainbow_glucose,LD_EYrainbow_glu-200_field-1,LD,108.0,103.0,0.01948051948051948,0.01857864357864358
EYrainbow_glucose,LD_EYrainbow_glu-200_field-2,LD,128.0,111.0,0.019643953345610803,0.01703499079189687
EYrainbow_glucose,LD_EYrainbow_glu-200_field-3,LD,80.0,84.0,0.017094017094017096,0.017948717948717947
EYrainbow_glucose,LD_EYrainbow_glu-200_field-4,LD,88.0,95.0,0.022044088176352707,0.02379759519038076
EYrainbow_glucose,LD_EYrainbow_glu-200_field-5,LD,115.0,134.0,0.01988587238457548,0.02317136434376621
EYrainbow_glucose,LD_EYrainbow_glu-50_field-0,LD,119.0,123.0,0.017865185407596455,0.018465695841465245
EYrainbow_glucose,LD_EYrainbow_glu-50_field-1,LD,104.0,130.0,0.016091598328949405,0.020114497911186757
EYrainbow_glucose,LD_EYrainbow_glu-50_field-2,LD,240.0,294.0,0.016354344122657582,0.020034071550255536
EYrainbow_glucose,LD_EYrainbow_glu-50_field-3,LD,269.0,325.0,0.016252794393088032,0.019636275753730892
EYrainbow_glucose,LD_EYrainbow_glu-50_field-4,LD,296.0,324.0,0.01660682226211849,0.018177737881508078
EYrainbow_glucose,LD_EYrainbow_glu-50_field-5,LD,377.0,332.0,0.019473140495867767,0.01714876033057851
EYrainbow_glucose,LD_EYrainbow_glu-5_field-0,LD,190.0,227.0,0.019397651863195507,0.023175089331291476
EYrainbow_glucose,LD_EYrainbow_glu-5_field-1,LD,383.0,427.0,0.021945908778363513,0.024467109786843914
EYrainbow_glucose,LD_EYrainbow_glu-5_field-2,LD,548.0,604.0,0.02222943371734545,0.02450105468116177
EYrainbow_glucose,LD_EYrainbow_glu-5_field-3,LD,278.0,344.0,0.0204697739488992,0.025329504454752964
EYrainbow_glucose,LD_EYrainbow_glu-5_field-4,LD,386.0,360.0,0.024620487307054472,0.022962112514351322
EYrainbow_glucose,LD_EYrainbow_glu-5_field-5,LD,266.0,314.0,0.021821164889253487,0.02575881870385562
EYrainbow_glucose,LD_EYrainbow_glu-5_field-6,LD,435.0,479.0,0.02399470461691213,0.02642175519885267
EYrainbow_glucose,mitochondria_EYrainbow_glu-0-5_field-0,mitochondria,1470.0,1721.0,0.005455537370430988,0.006387061098307299
EYrainbow_glucose,mitochondria_EYrainbow_glu-0-5_field-1,mitochondria,1328.0,1544.0,0.005480039944869478,0.006371371743131381
