filename,organelle,pixel_lower,pixel_upper,error_lower,error_upper
EYrainbow_glucose/LD_EYrainbow_glu-0_field-3,LD,96,106,0.04551920341394026,0.05026078710289237
EYrainbow_glucose/LD_EYrainbow_glu-0_field-4,LD,503,502,0.04573558828877978,0.045644662665939265
EYrainbow_glucose/LD_EYrainbow_glu-0_field-5,LD,518,469,0.05027661846064253,0.04552072211977094
EYrainbow_glucose/LD_EYrainbow_glu-100_field-0,LD,266,242,0.037725145369451145,0.0343213728549142
EYrainbow_glucose/LD_EYrainbow_glu-100_field-1,LD,338,268,0.042071197411003236,0.03335822753298481
EYrainbow_glucose/LD_EYrainbow_glu-100_field-2,LD,461,420,0.038551597257066396,0.035122930255895635
EYrainbow_glucose/LD_EYrainbow_glu-100_field-3,LD,363,250,0.03908689566060084,0.026919349628512976
EYrainbow_glucose/LD_EYrainbow_glu-200_field-0,LD,411,330,0.049086348978860626,0.039412396990326046
EYrainbow_glucose/LD_EYrainbow_glu-200_field-1,LD,252,206,0.045454545454545456,0.03715728715728716
EYrainbow_glucose/LD_EYrainbow_glu-200_field-2,LD,302,222,0.04634745242480049,0.03406998158379374
EYrainbow_glucose/LD_EYrainbow_glu-200_field-3,LD,216,168,0.046153846153846156,0.035897435897435895
EYrainbow_glucose/LD_EYrainbow_glu-200_field-4,LD,182,190,0.045591182364729456,0.04759519038076152
EYrainbow_glucose/LD_EYrainbow_glu-200_field-5,LD,269,268,0.04651564931696352,0.04634272868753242
EYrainbow_glucose/LD_EYrainbow_glu-50_field-0,LD,306,245,0.04593904819096232,0.03678126407446329
EYrainbow_glucose/LD_EYrainbow_glu-50_field-1,LD,309,260,0.047810614265820825,0.04022899582237351
EYrainbow_glucose/LD_EYrainbow_glu-50_field-2,LD,618,588,0.04211243611584327,0.04006814310051107
EYrainbow_glucose/LD_EYrainbow_glu-50_field-3,LD,702,649,0.04241435562805873,0.0392121321974503
EYrainbow_glucose/LD_EYrainbow_glu-50_field-4,LD,762,648,0.04275134649910233,0.036355475763016155
EYrainbow_glucose/LD_EYrainbow_glu-50_field-5,LD,873,664,0.04509297520661157,0.03429752066115702
EYrainbow_glucose/LD_EYrainbow_glu-5_field-0,LD,490,454,0.050025523226135786,0.04635017866258295
EYrainbow_glucose/LD_EYrainbow_glu-5_field-1,LD,920,854,0.05271602108640844,0.04893421957368783
EYrainbow_glucose/LD_EYrainbow_glu-5_field-2,LD,1279,1208,0.0518822002271621,0.04900210936232354
EYrainbow_glucose/LD_EYrainbow_glu-5_field-3,LD,700,688,0.05154259627420661,0.05065900890950593
EYrainbow_glucose/LD_EYrainbow_glu-5_field-4,LD,914,720,0.058298252328103074,0.045924225028702644
EYrainbow_glucose/LD_EYrainbow_glu-5_field-5,LD,657,628,0.053896636587366695,0.05151763740771124
EYrainbow_glucose/LD_EYrainbow_glu-5_field-6,LD,1009,958,0.05565668266313641,0.05284351039770534
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-0,mitochondria,3629,3442,0.013468125930132009,0.012774122196614598
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-1,mitochondria,3241,3088,0.013374103510031609,0.012742743486262762
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-2,mitochondria,3885,3564,0.013457062099925182,0.012345165849197773
EYrainbow_glucose/mitochondria_EYrainbow_glu-0-5_field-3,mitochondria,3185,3096,0.01339484729453524,0.013020548578926561
