organelle,field,cell-idx,cell-area,label,area,bbox_area,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5
LD,8,44,193.0,195,20.0,30.0,12,12,6,17,14,9
LD,8,44,193.0,271,3.0,3.0,15,6,10,18,7,11
LD,8,44,193.0,272,5.0,5.0,15,11,0,20,12,1
LD,8,44,193.0,416,2.0,2.0,20,12,9,22,13,10
LD,8,45,312.0,4,14.0,36.0,8,12,7,12,15,10
LD,8,45,312.0,18,17.0,32.0,9,11,16,13,15,18
LD,8,45,312.0,155,15.0,30.0,11,9,7,16,12,9
LD,8,45,312.0,196,5.0,6.0,13,6,1,16,7,3
LD,8,45,312.0,235,23.0,54.0,12,5,5,18,8,8
LD,8,45,312.0,273,31.0,60.0,13,6,12,18,10,15
LD,8,45,312.0,343,24.0,36.0,17,7,12,21,10,15
LD,8,45,312.0,366,13.0,16.0,18,7,6,22,9,8
LD,8,45,312.0,417,9.0,18.0,21,7,12,24,9,15
LD,8,45,312.0,418,7.0,9.0,19,11,5,22,12,8
LD,8,45,312.0,436,27.0,72.0,19,11,5,25,14,9
LD,8,45,312.0,437,1.0,1.0,22,13,18,23,14,19
LD,8,45,312.0,451,4.0,6.0,22,4,2,25,6,3
LD,8,45,312.0,452,8.0,18.0,22,7,6,25,9,9
LD,8,45,312.0,454,2.0,2.0,23,11,9,25,12,10
LD,8,45,312.0,455,5.0,8.0,22,13,17,24,15,19
LD,8,45,312.0,467,7.0,12.0,23,4,1,26,6,3
LD,8,45,312.0,468,22.0,60.0,22,7,7,27,10,11
LD,8,45,312.0,469,1.0,1.0,24,12,8,25,13,9
LD,8,46,309.0,1,2.0,2.0,8,9,3,9,11,4
LD,8,46,309.0,5,8.0,27.0,8,14,10,11,17,13
LD,8,46,309.0,19,2.0,2.0,9,13,13,11,14,14
LD,8,46,309.0,58,15.0,30.0,8,9,1,13,11,4
LD,8,46,309.0,59,30.0,42.0,9,12,14,16,14,17
LD,8,46,309.0,111,7.0,12.0,11,17,14,14,19,16
LD,8,46,309.0,197,3.0,3.0,13,17,8,16,18,9
LD,8,46,309.0,198,21.0,48.0,12,18,11,20,20,14
LD,8,46,309.0,234,32.0,42.0,13,2,3,20,4,6
LD,8,46,309.0,236,11.0,24.0,13,12,13,17,14,16
LD,8,46,309.0,275,1.0,1.0,16,17,8,17,18,9
LD,8,46,309.0,344,7.0,24.0,17,13,13,21,15,16
LD,8,46,309.0,368,2.0,2.0,19,17,8,20,19,9
LD,8,46,309.0,419,3.0,4.0,20,15,5,22,17,6
LD,8,46,309.0,438,41.0,84.0,18,13,11,25,16,15
LD,8,46,309.0,453,8.0,12.0,22,7,1,25,9,3
LD,8,46,309.0,456,1.0,1.0,23,17,8,24,18,9
LD,8,47,188.0,60,2.0,2.0,11,9,10,12,10,12
LD,8,47,188.0,112,1.0,1.0,12,9,11,13,10,12
LD,8,47,188.0,199,9.0,20.0,12,9,11,17,11,13
LD,8,47,188.0,237,5.0,6.0,13,7,0,16,8,2
LD,8,48,218.0,158,5.0,12.0,12,15,4,15,17,6
LD,8,48,218.0,302,2.0,2.0,16,6,12,18,7,13
LD,8,48,218.0,304,6.0,12.0,16,7,11,19,9,13
LD,8,48,218.0,306,9.0,16.0,16,14,10,20,16,12
LD,8,48,218.0,421,4.0,4.0,21,10,13,23,11,15
LD,8,49,292.0,61,2.0,2.0,10,13,10,12,14,11
LD,8,49,292.0,156,37.0,112.0,10,8,4,17,12,8
LD,8,49,292.0,238,15.0,24.0,13,4,11,17,7,13
LD,8,49,292.0,240,1.0,1.0,15,20,5,16,21,6
LD,8,49,292.0,303,10.0,18.0,16,4,11,19,7,13
LD,8,49,292.0,305,14.0,24.0,15,11,10,21,13,12
LD,8,49,292.0,420,2.0,2.0,21,7,7,23,8,8
LD,8,49,292.0,439,16.0,20.0,20,15,10,25,17,12
LD,8,51,227.0,157,29.0,60.0,11,5,3,16,8,7
LD,8,51,227.0,307,7.0,10.0,15,8,8,20,10,9
LD,8,51,227.0,369,2.0,2.0,19,9,8,21,10,9
LD,8,52,273.0,20,5.0,6.0,9,11,4,12,13,5
LD,8,52,273.0,21,15.0,24.0,8,12,11,12,15,13
LD,8,52,273.0,62,1.0,1.0,11,8,5,12,9,6
LD,8,52,273.0,63,5.0,6.0,10,15,12,13,16,14
LD,8,52,273.0,64,12.0,24.0,9,17,6,13,19,9
LD,8,52,273.0,200,8.0,16.0,13,14,1,17,16,3
LD,8,52,273.0,239,7.0,8.0,14,5,9,18,6,11
LD,8,52,273.0,276,2.0,2.0,16,10,0,18,11,1
LD,8,52,273.0,308,1.0,1.0,17,15,1,18,16,2
LD,8,52,273.0,370,2.0,2.0,18,5,10,20,6,11
LD,8,53,128.0,113,3.0,4.0,12,12,8,14,13,10
LD,8,53,128.0,474,9.0,16.0,23,11,7,27,13,9
LD,8,56,192.0,65,11.0,48.0,10,11,8,14,15,11
LD,8,56,192.0,114,2.0,2.0,12,11,10,14,12,11
LD,8,56,192.0,159,3.0,4.0,12,13,9,14,15,10
LD,8,56,192.0,241,7.0,18.0,13,8,11,16,11,13
LD,8,56,192.0,277,14.0,24.0,14,8,11,18,11,13
LD,8,56,192.0,345,13.0,36.0,17,7,11,20,11,14
LD,8,56,192.0,398,6.0,12.0,20,8,12,22,11,14
LD,8,58,265.0,66,6.0,12.0,10,13,2,13,15,4
LD,8,58,265.0,422,1.0,1.0,21,13,10,22,14,11
LD,8,60,234.0,67,13.0,18.0,10,12,5,13,14,8
LD,8,60,234.0,242,11.0,30.0,14,11,1,19,14,3
LD,8,60,234.0,310,1.0,1.0,17,17,6,18,18,7
LD,8,61,235.0,22,1.0,1.0,10,5,14,11,6,15
LD,8,61,235.0,115,3.0,4.0,11,4,10,13,5,12
LD,8,61,235.0,160,11.0,20.0,11,3,11,16,5,13
LD,8,61,235.0,309,1.0,1.0,17,6,5,18,7,6
LD,8,61,235.0,371,2.0,2.0,19,6,10,21,7,11
LD,8,63,219.0,116,24.0,80.0,10,8,13,15,12,17
LD,8,63,219.0,161,8.0,16.0,13,10,13,15,12,17
LD,8,63,219.0,399,1.0,1.0,20,10,16,21,11,17
LD,8,65,180.0,23,5.0,8.0,10,5,2,12,7,4
LD,8,65,180.0,24,3.0,3.0,9,9,8,12,10,9
LD,8,65,180.0,68,19.0,36.0,9,9,4,13,12,7
LD,8,65,180.0,69,2.0,2.0,11,11,13,13,12,14
LD,8,65,180.0,162,1.0,1.0,13,14,8,14,15,9
LD,8,65,180.0,201,5.0,6.0,13,9,8,16,10,10
LD,8,66,246.0,70,7.0,12.0,10,8,2,13,10,4
LD,8,66,246.0,243,23.0,48.0,11,13,7,19,15,10
LD,8,66,246.0,400,4.0,8.0,19,13,7,21,15,9
LD,8,70,336.0,71,4.0,6.0,10,6,6,13,8,7
LD,8,70,336.0,72,3.0,3.0,10,11,5,13,12,6
LD,8,70,336.0,76,8.0,18.0,10,16,11,13,19,13
LD,8,70,336.0,118,2.0,2.0,11,15,4,13,16,5
LD,8,70,336.0,119,2.0,2.0,11,17,16,13,18,17
LD,8,70,336.0,120,5.0,12.0,11,17,15,14,19,17
LD,8,70,336.0,204,10.0,18.0,12,16,15,15,18,18
LD,8,70,336.0,244,4.0,4.0,14,9,11,18,10,12
LD,8,70,336.0,278,22.0,72.0,14,14,14,20,18,17
LD,8,70,336.0,279,2.0,2.0,16,15,18,17,16,20
LD,8,70,336.0,311,13.0,24.0,14,4,8,18,6,11
LD,8,70,336.0,312,8.0,12.0,16,15,2,18,17,5
LD,8,70,336.0,313,2.0,2.0,17,19,16,19,20,17
LD,8,70,336.0,346,7.0,24.0,17,4,8,21,6,11
LD,8,70,336.0,372,13.0,24.0,18,4,8,22,6,11
LD,8,70,336.0,373,17.0,54.0,16,6,2,22,9,5
LD,8,70,336.0,374,1.0,1.0,19,8,5,20,9,6
LD,8,70,336.0,375,10.0,12.0,18,15,3,21,17,5
LD,8,70,336.0,376,1.0,1.0,19,19,9,20,20,10
LD,8,70,336.0,401,9.0,16.0,19,13,14,23,15,16
LD,8,70,336.0,402,4.0,6.0,19,15,15,21,18,16
LD,8,70,336.0,403,2.0,2.0,19,19,8,21,20,9
LD,8,70,336.0,404,43.0,84.0,17,17,12,24,20,16
LD,8,70,336.0,457,5.0,6.0,22,10,11,25,11,13
LD,8,70,336.0,458,2.0,2.0,23,18,15,24,19,17
LD,8,70,336.0,470,1.0,1.0,24,16,6,25,17,7
LD,8,71,245.0,6,1.0,1.0,9,7,5,10,8,6
LD,8,71,245.0,25,7.0,8.0,10,3,5,12,5,7
LD,8,71,245.0,26,2.0,2.0,9,8,5,11,9,6
LD,8,71,245.0,28,6.0,12.0,9,12,1,12,14,3
LD,8,71,245.0,73,2.0,2.0,10,10,0,12,11,1
LD,8,71,245.0,74,3.0,4.0,11,12,1,13,14,2
LD,8,71,245.0,75,31.0,72.0,8,14,3,14,17,7
LD,8,72,267.0,77,4.0,6.0,10,13,5,13,15,6
LD,8,74,139.0,27,5.0,12.0,9,5,4,12,7,6
LD,8,74,139.0,202,2.0,2.0,13,8,8,15,9,9
LD,8,74,139.0,203,7.0,12.0,13,8,8,16,10,10
LD,8,75,231.0,117,3.0,4.0,11,6,3,13,7,5
LD,8,77,237.0,29,11.0,27.0,9,2,5,12,5,8
LD,8,77,237.0,30,3.0,4.0,9,3,5,11,5,6
LD,8,77,237.0,31,3.0,4.0,9,9,12,11,11,13
LD,8,77,237.0,78,8.0,18.0,10,3,8,13,5,11
LD,8,77,237.0,121,6.0,6.0,11,2,6,14,3,8
