experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
rpmc,250,3,6,73,202,444.83168316831683,381.3267326732673,439,372,452,391,0.6959977428225573
rpmc,250,3,6,74,322,453.2049689440994,202.64906832298138,444,193,464,213,0.34547988386408324
rpmc,250,3,6,75,412,457.121359223301,223.78155339805826,446,214,469,236,0.4462614004268817
rpmc,250,3,6,76,185,459.81081081081084,175.9837837837838,453,169,468,185,0.3968191564107814
rpmc,250,3,6,78,189,462.02645502645504,33.94708994708995,455,27,470,42,0.48618637064495523
rpmc,250,3,6,79,241,464.82572614107886,245.8091286307054,457,237,474,255,0.4343351631175763
rpmc,250,3,6,80,265,468.4603773584906,191.44150943396227,459,183,478,202,0.19288284214652734
rpmc,250,3,6,81,142,469.0845070422535,260.9788732394366,463,255,476,268,0.16615993692017378
rpmc,250,3,6,82,168,472.01190476190476,100.30952380952381,465,94,480,108,0.40122007520938663
rpmc,250,3,6,83,259,485.63706563706563,90.61003861003861,476,83,496,100,0.535286649304027
