experiment,condition,hour,field,idx-cell,area,centroid-0,centroid-1,bbox-0,bbox-1,bbox-2,bbox-3,eccentricity
leu,100,3,4,65,201,217.0099502487562,446.39303482587064,210,439,227,455,0.4860317198305584
leu,100,3,4,66,250,224.12,284.472,217,274,234,296,0.6748615791361624
leu,100,3,4,67,102,222.80392156862746,299.8921568627451,218,295,229,306,0.4183249685487373
leu,100,3,4,68,230,225.9391304347826,326.8086956521739,219,317,234,337,0.630601733319714
leu,100,3,4,69,154,228.63636363636363,268.7402597402597,222,262,236,276,0.4258319656241832
leu,100,3,4,71,325,234.8676923076923,493.5784615384615,226,483,245,505,0.5044694094736949
leu,100,3,4,72,142,233.22535211267606,442.6830985915493,227,437,241,450,0.5932260312759691
leu,100,3,4,73,264,236.9659090909091,294.14772727272725,228,285,248,305,0.6890859636775198
leu,100,3,4,74,263,237.98859315589354,154.77566539923956,230,145,247,166,0.5672157941401088
leu,100,3,4,76,286,242.77972027972027,136.48951048951048,234,127,254,146,0.4395386437870789
leu,100,3,4,77,237,243.1561181434599,265.9493670886076,236,257,251,276,0.614296311293786
leu,100,3,4,78,244,245.05327868852459,453.15983606557376,237,444,255,464,0.5737824914285939
leu,100,3,4,79,259,246.8918918918919,193.90347490347492,239,185,257,204,0.5437867873625482
leu,100,3,4,80,249,249.98393574297188,167.6425702811245,240,159,260,176,0.5437102593605427
leu,100,3,4,81,164,249.3841463414634,280.4390243902439,243,273,257,290,0.6740468299803432
leu,100,3,4,83,191,254.3089005235602,413.17277486910996,247,405,262,423,0.5532122178383883
leu,100,3,4,84,266,256.04135338345867,429.89473684210526,247,421,266,440,0.4961348438017015
leu,100,3,4,85,103,253.79611650485438,293.80582524271847,248,289,261,299,0.7179117967480244
leu,100,3,4,86,225,263.16,209.88,253,203,273,219,0.6045361578122183
leu,100,3,4,87,266,261.03007518796994,450.8383458646617,253,440,270,463,0.6744764350227626
leu,100,3,4,88,383,262.7519582245431,260.2715404699739,254,248,273,273,0.6232656795599012
leu,100,3,4,89,293,263.0136518771331,188.4641638225256,255,178,273,200,0.5727614069740837
leu,100,3,4,90,102,260.45098039215685,243.2450980392157,255,238,267,249,0.26665002381376235
leu,100,3,4,91,128,266.3046875,167.4296875,260,162,274,174,0.6831748271791215
leu,100,3,4,94,354,273.52259887005647,280.74858757062145,264,270,285,293,0.2975515889545278
leu,100,3,4,95,153,271.65359477124184,299.94117647058823,264,294,281,306,0.7667046982257044
leu,100,3,4,96,290,274.2103448275862,432.39310344827584,266,422,283,444,0.6491132097895972
leu,100,3,4,97,234,275.38034188034186,223.06410256410257,267,213,283,234,0.6836492929663585
leu,100,3,4,98,219,274.5570776255708,413.61187214611874,267,405,283,423,0.4508660624504967
leu,100,3,4,100,144,277.63194444444446,352.2708333333333,271,346,285,360,0.5893307660887664
leu,100,3,4,101,198,280.4040404040404,185.8838383838384,273,178,289,194,0.24884700984387448
leu,100,3,4,102,188,281.1329787234043,240.64361702127658,274,233,290,250,0.582744089393998
leu,100,3,4,103,271,285.6014760147601,366.64944649446494,278,356,295,379,0.6796898702483335
leu,100,3,4,104,106,283.35849056603774,383.6132075471698,278,379,291,390,0.5439861907495505
