experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,0-5,3,3,vacuole,20,4801,1425,802,332,54,64,59,45,81,106,156,218,183,85,14,7,25,16,13,13,8,4,8,3,4,1,1,3,1,1,8,15,5,5,8,83,24,26,20,33,40,32,19,15,5,4,4,4,1,2,7,3,2,4,5,6,3,10,16,9,8,6,12,15,15,53,49,21,20,32,61,34,31,51,45,26,23,33,34,41,23,33,21,28,12,20,16,13,18,15,18,22,38,22,16,13,19,56,124,148,457
glu,0-5,3,3,vacuole,22,4393,1311,860,442,59,71,66,54,89,117,160,229,158,53,26,13,23,7,20,15,6,5,7,3,2,3,5,20,18,9,9,20,5,14,17,62,17,26,24,31,40,21,11,8,11,3,0,6,4,3,5,1,1,4,7,7,7,17,17,11,10,14,14,24,23,56,36,26,21,30,48,23,35,30,29,25,24,37,48,50,19,37,28,17,20,15,17,19,27,27,26,24,36,26,28,23,32,45,100,162,672
glu,0-5,3,3,vacuole,23,6122,1995,856,388,38,47,47,39,85,125,204,225,119,59,28,18,36,38,30,23,7,8,12,6,10,2,2,1,3,2,5,12,5,6,6,65,46,33,16,34,35,28,14,23,5,4,4,5,6,4,2,1,2,1,7,2,1,8,2,6,8,8,8,13,24,42,40,31,17,27,25,19,20,21,15,15,17,26,32,29,18,31,19,15,11,17,19,12,17,25,30,18,28,20,18,20,19,74,155,144,322
glu,0-5,3,3,vacuole,24,4116,1335,705,399,44,22,47,23,61,88,150,200,171,92,23,9,20,18,17,13,11,8,7,11,3,2,4,4,6,1,11,6,4,8,5,62,16,25,15,34,51,21,15,14,2,3,2,5,1,4,5,0,1,3,2,6,4,9,7,7,8,7,11,6,27,40,33,15,16,30,38,20,29,36,20,19,15,32,34,25,20,23,8,20,14,17,9,9,14,16,34,19,20,21,17,27,29,61,95,90,453
glu,0-5,3,3,vacuole,26,5054,1304,841,476,78,53,73,62,90,128,202,371,335,137,60,18,26,17,15,8,10,7,8,4,3,2,4,5,1,6,15,8,6,6,12,67,18,23,8,38,51,33,19,14,13,4,2,6,1,5,1,2,2,4,8,7,3,12,10,16,8,8,19,21,30,61,37,49,31,41,52,56,44,47,34,31,25,34,60,48,30,26,35,18,21,18,23,21,17,21,22,19,37,27,29,27,16,40,148,149,659
glu,0-5,3,3,vacuole,28,3372,1043,637,352,73,74,58,59,60,101,167,198,175,80,25,10,11,15,17,11,6,9,6,6,2,2,4,5,4,6,7,6,14,19,11,57,14,32,13,24,39,24,18,9,7,3,2,3,1,2,1,4,4,5,6,6,9,10,9,18,7,9,17,13,21,37,44,29,21,44,65,45,41,33,26,25,18,48,48,42,23,25,22,17,21,21,16,14,10,16,22,14,30,28,14,14,31,29,101,104,636
glu,0-5,3,3,vacuole,30,3628,1118,742,432,70,45,62,60,107,116,162,243,169,59,38,21,24,21,12,12,20,12,8,13,4,4,4,8,2,6,8,9,8,12,8,65,14,26,12,27,30,28,17,10,6,2,5,3,2,4,4,1,4,6,4,6,3,5,14,9,13,9,20,17,25,37,24,30,21,32,52,47,32,24,29,28,24,33,43,37,24,22,27,10,14,20,21,20,18,21,17,18,17,30,26,18,21,51,132,145,612
glu,0-5,3,3,vacuole,31,2812,799,539,265,52,61,66,32,64,82,177,207,266,124,43,13,19,16,20,10,7,8,6,5,6,1,1,3,5,3,12,10,6,5,6,80,15,20,22,23,30,26,27,13,6,6,4,4,4,0,6,2,2,5,8,4,7,4,7,15,2,11,9,9,24,51,40,23,18,33,42,41,29,42,19,28,21,31,41,51,17,24,16,10,13,9,17,7,10,20,33,15,22,25,16,18,16,21,129,91,511
glu,0-5,3,3,vacuole,32,5692,1423,1072,680,123,106,128,88,115,212,267,343,238,110,33,20,29,25,21,17,9,7,9,7,3,8,3,4,2,3,16,10,8,11,12,68,16,22,26,57,61,40,20,13,10,12,2,9,3,3,4,3,5,8,6,8,11,10,18,14,11,21,25,21,51,49,53,45,38,38,48,69,62,33,33,25,21,34,31,36,35,32,25,22,20,21,13,16,29,44,41,34,39,35,43,34,27,78,246,229,950
glu,0-5,3,3,vacuole,34,7858,1629,963,509,110,67,74,83,131,155,255,307,344,138,51,30,45,29,32,25,15,21,12,12,11,12,4,23,19,16,23,23,14,12,15,130,26,41,17,32,41,19,23,21,11,9,10,7,6,6,8,2,6,7,16,12,12,17,13,25,12,12,20,27,35,67,52,61,59,47,49,64,40,43,49,56,40,59,66,51,46,42,46,27,38,31,29,28,30,37,44,34,51,38,56,35,52,89,167,215,652
glu,0-5,3,3,vacuole,35,1852,618,293,135,8,3,14,8,29,41,74,90,50,16,2,2,10,6,7,8,2,0,2,1,3,5,3,2,1,0,2,2,0,2,5,26,6,10,8,13,26,10,8,6,4,1,0,0,0,0,3,0,2,1,1,2,1,3,1,1,1,3,2,8,13,21,21,12,5,13,20,13,14,13,17,5,7,11,12,15,4,12,5,7,2,3,3,3,5,10,13,5,12,6,12,7,4,8,48,34,212
