experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
glu,5,3,4,LD,35,8868,680,351,197,128,126,89,100,99,115,121,92,109,82,52,47,53,32,33,31,39,24,43,26,30,26,21,22,13,15,20,13,21,12,17,11,13,11,9,14,8,15,5,20,6,13,4,12,11,9,9,11,9,12,10,13,6,7,12,10,11,10,10,13,12,11,11,7,12,13,9,11,8,7,12,9,12,14,13,18,20,23,21,20,28,16,11,18,10,16,18,19,15,18,16,12,21,23,15,10,0
glu,5,3,4,LD,36,5999,601,315,195,163,115,81,68,80,129,92,64,77,84,56,38,47,41,31,31,40,35,29,34,30,28,21,15,22,18,12,15,18,13,23,14,9,7,10,11,14,14,8,4,18,12,12,17,13,12,11,11,14,7,9,8,14,8,9,12,4,13,11,9,7,7,12,11,12,13,5,6,13,10,17,11,15,12,13,14,7,10,15,13,11,13,22,21,23,18,13,13,17,14,15,12,21,6,7,3,8
glu,5,3,4,LD,38,2307,3,5,20,22,10,2,2,5,11,17,9,52,29,1,6,7,2,0,1,4,5,9,4,9,1,5,2,5,2,1,2,2,0,1,1,4,3,6,6,6,2,2,1,2,0,2,1,6,2,4,2,2,5,0,1,1,2,0,0,0,0,3,1,1,1,3,0,1,1,3,2,2,2,0,0,0,0,1,0,0,0,1,0,3,4,3,3,1,2,1,0,0,1,0,0,0,0,0,0,0
glu,5,3,4,LD,39,6213,20,16,35,39,8,6,3,5,24,43,29,81,46,15,14,5,4,3,2,6,2,10,9,14,13,14,10,15,2,5,3,4,2,3,1,9,9,7,3,18,10,3,0,1,3,2,2,4,6,10,8,3,6,3,2,0,0,1,0,2,2,8,3,6,3,8,1,1,2,3,2,0,3,6,1,4,1,4,3,2,2,2,3,3,2,3,3,0,0,1,0,1,0,0,0,0,0,0,0,0
glu,5,3,4,LD,40,2726,122,78,54,40,27,14,18,45,44,40,32,33,18,12,17,6,6,5,4,5,4,12,11,7,5,5,9,7,7,5,5,5,6,8,2,4,2,3,5,3,5,4,6,3,3,2,4,2,3,7,7,0,5,4,1,4,1,2,6,6,5,7,8,4,1,3,5,3,7,4,3,2,3,4,1,3,2,4,1,2,3,6,5,8,11,4,2,3,5,4,9,4,4,10,9,1,2,2,0,0
glu,5,3,4,LD,41,2807,261,136,115,64,41,50,39,52,53,46,36,48,52,31,20,22,17,14,11,9,14,19,15,10,9,10,10,3,9,11,5,7,4,8,6,2,4,3,5,8,7,4,5,5,10,11,8,8,8,8,13,11,3,6,9,4,5,5,4,7,8,3,5,6,3,4,2,6,2,5,5,2,8,4,2,3,11,5,8,12,4,4,8,5,6,6,4,9,7,5,6,10,5,9,10,7,2,0,2,0
glu,5,3,4,LD,42,6978,541,264,178,111,110,82,75,70,115,73,81,82,68,70,36,41,35,26,25,25,32,28,29,28,24,23,17,17,22,13,12,14,11,11,11,13,17,13,6,12,10,6,3,13,8,16,7,9,8,12,12,19,11,9,8,7,6,13,10,14,14,12,13,7,16,14,8,7,9,7,7,3,7,7,7,7,12,19,10,6,9,16,8,12,10,9,8,13,10,9,14,7,5,2,9,12,4,1,0,0
glu,5,3,4,LD,43,6781,592,393,250,272,212,150,84,126,132,105,68,124,120,97,78,75,52,43,62,48,43,32,42,47,27,35,30,28,26,31,22,26,15,25,9,17,11,27,23,18,20,23,22,18,14,14,12,9,13,12,16,23,13,7,11,4,12,5,14,6,5,16,8,15,7,14,24,17,19,15,25,20,27,19,25,35,24,27,24,26,27,32,44,30,48,46,44,45,23,41,30,39,37,40,38,66,49,46,62,106
glu,5,3,4,LD,44,15308,87,66,102,83,40,33,32,23,77,117,74,139,93,33,20,14,17,7,15,21,15,32,25,41,15,17,17,19,13,14,9,10,5,8,9,9,6,14,10,17,7,2,8,6,10,15,7,12,5,10,6,5,11,2,2,1,6,5,7,5,7,11,8,11,9,9,10,8,3,12,7,3,5,8,4,8,5,7,6,4,4,8,14,10,5,5,6,6,8,3,8,2,8,5,0,4,3,6,5,1
glu,5,3,4,LD,47,2577,22,12,24,17,9,2,3,6,4,12,12,23,34,16,13,2,3,5,2,3,0,4,9,7,3,6,3,5,0,0,0,0,1,3,2,5,3,3,3,9,5,1,0,3,1,2,1,2,3,1,12,6,3,1,2,0,2,2,3,0,4,6,7,2,2,3,3,1,1,1,1,1,2,1,0,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,48,8422,478,340,269,196,132,90,96,120,134,142,88,81,79,57,31,41,40,23,30,35,33,35,41,41,24,26,22,22,21,14,15,21,15,18,8,21,4,7,13,12,15,6,12,4,3,12,9,14,8,9,13,8,7,4,11,8,4,7,7,14,9,9,6,6,14,14,12,15,14,7,10,21,9,10,7,9,21,17,21,24,25,25,23,18,22,22,18,18,16,17,22,21,18,23,16,32,22,22,25,38
glu,5,3,4,LD,49,6632,78,50,72,46,31,16,12,11,12,44,42,84,63,27,29,20,10,4,3,5,10,7,24,31,10,21,9,15,3,5,5,6,4,2,0,8,7,7,10,17,10,3,3,5,2,3,5,7,9,18,20,11,2,1,2,3,3,1,2,1,4,12,6,5,3,7,8,4,6,3,4,2,4,3,2,1,0,0,0,3,2,3,3,3,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
glu,5,3,4,LD,51,2667,135,77,93,62,49,43,40,47,57,71,38,40,42,28,27,15,18,10,8,14,13,12,19,12,7,10,12,9,4,9,5,5,8,3,7,1,6,3,4,7,4,5,3,4,3,5,6,4,6,5,10,5,2,7,6,5,3,4,2,2,7,5,1,1,2,7,3,5,2,0,2,5,1,5,6,3,3,9,6,11,5,13,9,5,8,13,4,10,11,9,11,8,7,12,14,7,6,3,1,2
glu,5,3,4,LD,52,4014,49,38,49,43,26,11,15,18,28,55,35,45,40,20,14,12,7,11,13,9,6,9,16,21,7,15,12,8,6,5,3,4,2,2,1,8,6,7,4,9,6,5,5,1,5,7,2,2,1,8,4,2,6,2,2,2,1,3,1,1,1,3,3,2,3,6,7,2,3,3,3,3,4,4,4,2,1,1,3,4,5,7,1,11,11,4,4,2,4,1,0,0,0,3,0,0,0,0,0,0
glu,5,3,4,LD,53,5303,197,133,95,67,31,22,27,34,54,54,49,67,46,29,21,11,10,11,8,11,7,16,17,20,17,9,10,16,3,5,8,8,6,2,4,5,4,7,7,7,7,10,3,3,8,8,3,6,4,6,12,4,5,8,3,1,4,6,4,1,4,6,3,4,4,4,7,6,6,4,1,6,5,3,2,4,3,6,4,1,6,9,5,6,1,5,1,4,7,2,6,8,6,7,3,3,4,3,1,0
glu,5,3,4,LD,54,4000,342,164,98,116,56,48,49,56,81,67,57,52,73,47,35,27,20,16,20,18,17,13,22,21,21,17,14,13,16,19,6,17,8,10,4,18,12,11,7,8,14,5,3,6,11,5,4,7,10,8,11,7,1,3,10,4,6,10,5,6,4,9,10,8,5,6,9,2,5,4,4,9,4,7,12,11,7,5,8,10,9,8,12,10,8,9,6,10,9,11,11,10,9,9,15,23,12,10,6,28
glu,5,3,4,LD,55,5959,376,233,147,114,72,63,41,47,56,74,52,85,59,40,34,27,23,19,29,24,17,17,19,20,21,15,14,14,15,8,5,15,7,14,10,8,13,8,7,8,7,11,14,9,5,10,10,7,8,8,12,11,8,5,3,3,4,9,4,9,7,8,4,5,10,4,7,6,3,6,9,5,5,12,8,9,7,8,10,7,12,3,12,6,12,10,14,15,12,11,6,6,12,5,8,20,7,9,9,10
