experiment,condition,hour,field,organelle,cell_idx,scanned-0,scanned-1,scanned-2,scanned-3,scanned-4,scanned-5,scanned-6,scanned-7,scanned-8,scanned-9,scanned-10,scanned-11,scanned-12,scanned-13,scanned-14,scanned-15,scanned-16,scanned-17,scanned-18,scanned-19,scanned-20,scanned-21,scanned-22,scanned-23,scanned-24,scanned-25,scanned-26,scanned-27,scanned-28,scanned-29,scanned-30,scanned-31,scanned-32,scanned-33,scanned-34,scanned-35,scanned-36,scanned-37,scanned-38,scanned-39,scanned-40,scanned-41,scanned-42,scanned-43,scanned-44,scanned-45,scanned-46,scanned-47,scanned-48,scanned-49,scanned-50,scanned-51,scanned-52,scanned-53,scanned-54,scanned-55,scanned-56,scanned-57,scanned-58,scanned-59,scanned-60,scanned-61,scanned-62,scanned-63,scanned-64,scanned-65,scanned-66,scanned-67,scanned-68,scanned-69,scanned-70,scanned-71,scanned-72,scanned-73,scanned-74,scanned-75,scanned-76,scanned-77,scanned-78,scanned-79,scanned-80,scanned-81,scanned-82,scanned-83,scanned-84,scanned-85,scanned-86,scanned-87,scanned-88,scanned-89,scanned-90,scanned-91,scanned-92,scanned-93,scanned-94,scanned-95,scanned-96,scanned-97,scanned-98,scanned-99,scanned-100
leu,0,3,4,mitochondria,11,5158,1131,365,173,167,141,110,111,85,85,147,99,103,54,46,52,33,46,32,39,23,26,26,24,19,18,25,15,16,11,16,7,15,15,6,9,3,6,14,11,8,15,5,5,2,5,3,1,0,2,4,2,4,1,4,4,5,7,7,21,15,19,18,20,5,8,3,4,3,5,4,7,5,5,10,5,6,10,10,10,12,12,8,3,9,6,25,64,63,55,28,34,22,20,28,41,63,121,198,299,1197
leu,0,3,4,mitochondria,12,9935,2062,652,323,257,254,203,224,159,161,248,275,156,95,88,74,67,60,59,52,49,50,40,31,36,35,39,26,34,24,23,18,21,23,15,14,17,16,11,16,15,19,15,14,4,5,2,4,4,6,6,4,4,6,5,2,11,8,18,26,13,35,25,15,16,7,9,7,6,10,10,10,12,11,11,9,13,11,11,15,12,8,19,7,5,14,27,63,120,129,55,40,29,24,44,72,129,175,324,498,1918
leu,0,3,4,mitochondria,13,6264,1206,406,184,156,172,156,141,111,104,175,205,127,76,56,37,37,35,32,21,21,30,17,32,20,24,20,19,20,21,15,17,14,5,6,4,8,7,9,12,14,9,5,5,6,3,0,4,2,4,3,2,4,3,3,4,6,7,12,11,6,16,8,8,11,10,5,6,12,8,11,9,5,8,6,8,13,12,12,8,16,9,7,3,7,6,19,46,93,90,37,38,16,28,33,39,77,113,210,318,1504
leu,0,3,4,mitochondria,15,2688,646,203,89,72,72,48,68,56,42,33,40,72,44,38,27,21,14,16,21,12,17,13,8,6,5,14,8,10,8,5,10,2,6,5,4,6,4,5,4,3,3,6,2,4,2,1,2,2,2,1,0,1,1,1,1,1,1,4,8,5,8,8,6,4,4,8,3,6,3,5,2,2,4,4,5,6,5,6,5,5,7,3,4,3,5,7,7,25,7,17,10,12,7,11,15,26,29,101,121,613
leu,0,3,4,mitochondria,16,2451,668,191,99,89,63,30,40,22,23,30,18,26,27,26,16,21,16,12,8,10,12,10,7,5,10,9,7,9,10,3,7,3,11,4,4,4,1,5,4,4,5,4,6,3,1,1,4,0,1,4,0,3,4,1,3,2,8,4,9,7,19,14,18,8,5,6,6,3,5,4,13,8,7,9,9,4,4,5,11,9,9,5,7,5,5,7,7,9,11,11,11,17,17,24,20,25,20,97,115,565
leu,0,3,4,mitochondria,18,11384,2064,629,295,235,198,143,182,149,115,139,151,132,98,72,71,44,62,52,40,36,42,36,43,41,36,33,37,32,23,21,12,18,9,6,4,8,16,13,20,17,25,9,9,9,5,1,6,3,8,5,5,4,5,5,7,26,15,22,33,16,52,27,23,26,9,16,10,6,8,8,9,10,15,18,21,20,19,19,17,26,19,14,12,9,21,21,38,76,67,42,43,33,48,70,79,122,162,360,443,1911
leu,0,3,4,mitochondria,19,3728,1034,324,143,122,120,114,120,66,83,142,147,62,39,27,24,20,16,19,18,24,13,20,12,10,13,10,8,9,7,8,9,8,4,6,4,3,7,5,6,4,5,0,3,4,4,1,2,0,5,1,1,1,6,3,2,5,10,11,18,15,27,19,21,10,4,8,5,4,7,7,5,4,6,8,16,11,17,12,14,9,13,11,12,10,19,8,45,72,88,28,32,27,23,31,37,47,89,125,163,621
leu,0,3,4,mitochondria,20,4757,904,294,119,111,116,69,76,55,70,143,130,60,25,31,26,21,30,19,17,19,22,13,12,7,12,9,7,5,7,5,5,7,5,4,5,8,4,5,4,5,6,2,3,6,3,4,1,4,5,0,3,2,1,4,3,12,9,8,19,15,13,20,21,11,5,5,4,4,5,2,4,7,10,14,14,11,6,12,5,18,9,8,12,14,10,16,39,57,67,22,34,12,21,44,37,28,78,103,185,588
leu,0,3,4,mitochondria,21,8282,1834,580,268,262,211,181,221,118,118,170,255,165,103,93,67,58,59,62,44,45,44,27,36,36,22,16,33,24,19,26,19,25,10,15,18,11,13,16,10,13,15,12,6,8,6,2,3,0,7,0,3,5,4,5,4,10,9,13,12,24,24,22,23,13,10,9,6,8,5,10,11,8,9,9,11,13,18,22,9,13,14,10,6,16,13,12,51,104,61,34,20,20,26,49,60,116,142,315,424,2054
leu,0,3,4,mitochondria,22,8850,1493,479,282,223,171,170,145,105,112,149,150,156,80,55,51,34,39,34,23,36,28,25,28,19,25,21,18,21,18,20,11,14,10,13,13,12,14,8,7,14,10,9,12,7,6,4,3,0,4,2,1,2,3,4,3,10,7,24,32,16,32,21,21,13,3,12,9,6,8,5,7,6,9,10,11,8,13,13,8,10,14,14,6,20,19,15,51,105,98,41,34,30,20,43,60,57,123,235,300,1275
