YFP Volume Fraction,YFP Total Volume,Organelle Total Volume,Organelle Volume Fraction,Cell Volume
0,0,30.32319176,0.431225507,70.31864129
0,0,3.175796749,0.090262054,35.18418423
0.006806298,0.377879523,9.380460888,0.168959173,55.51909811
0,0,1.879582859,0.061653847,30.48605964
0.008142859,0.441250623,8.840677445,0.163146256,54.18866284
0,0,2.638169654,0.073390192,35.94716911
0.000472707,0.053982789,3.184462272,0.027885113,114.199368
0,0,3.87320268,0.092605676,41.82467927
0.003387907,0.2323607,12.71832865,0.185438065,68.58531812
0,0,4.288992696,0.073973761,57.97991949
0.001159667,0.056329867,7.454629111,0.153468944,48.57418646
0,0,8.672758187,0.147100878,58.95789548
0,0,2.617584518,0.053505079,48.92216924
0.002882799,0.291037645,30.41911759,0.301308784,100.9566238
0,0,3.064770973,0.063574682,48.20741345
0.006756649,0.544522045,13.6842139,0.169799247,80.59054546
0,0,3.428891708,0.11036738,31.06798127
0,0,7.497484256,0.164707489,45.51999617
0,0,3.326801176,0.075232103,44.2204993
0.000862885,0.056329867,10.38897836,0.159142805,65.28085487
0.000900077,0.0633711,12.94536678,0.183866673,70.40627101
0,0,10.10632254,0.156042313,64.76655169
0.009208144,1.06792039,28.72250454,0.247659817,115.9756348
0.002262415,0.187766222,18.93721056,0.228176485,82.99369909
0.007478538,0.265219789,8.361014209,0.235759804,35.46412099
0,0,6.38643259,0.13705039,46.59915668
0,0,9.854910786,0.223893996,44.01596715
0,0,7.563698673,0.112285408,67.36136771
0.0040277,0.237054856,3.41773044,0.058069232,58.85613336
0.00524511,0.394309067,12.74162938,0.169489507,75.17650877
0.003892985,0.194807456,11.85249312,0.236857344,50.04064023
0,0,4.970528721,0.1097446,45.2917839
0.005342964,0.269913945,10.04452095,0.198831957,50.51763869
0.001121728,0.056329867,5.713998237,0.113786052,50.21703556
0,0,10.06811421,0.137998089,72.95835988
0.006550829,0.492886334,8.258962711,0.109767803,75.24030268
0,0,4.573902217,0.124666659,36.68905735
0.006639283,0.704123334,34.25082651,0.322956116,106.0541195
0,0,15.33470428,0.302948957,50.61811216
0.001131252,0.058676944,4.903887927,0.094543635,51.86904336
0.001228839,0.053982789,6.796595548,0.154714559,43.92990275
0.003974813,0.239401934,18.91794368,0.314096448,60.22972809
0.002086609,0.138477589,15.95473331,0.240409171,66.3649112
0.005040951,0.469415556,21.63355962,0.23231807,93.12043463
0.004206699,0.241749011,10.79005268,0.187758801,57.46762667
0,0,14.49146805,0.135526823,106.9269372
0,0,4.757476824,0.150338257,31.64515094
0.004534568,0.328590889,15.3146386,0.211342658,72.46354673
0,0,6.974970928,0.126730938,55.03763361
0,0,21.21066524,0.292864431,72.42485946
0,0,4.245368195,0.098737804,42.99638048
0,0,2.170195245,0.056794353,38.21146199
0,0,75.56585656,0.375472283,201.2554854
0,0,7.965020491,0.214335034,37.16154251
0,0,4.507435056,0.067700682,66.57887238
0.008983051,0.565645745,14.34165249,0.227760568,62.96810983
0,0,7.680710452,0.112384423,68.34319422
0,0,22.52575552,0.289871958,77.70932961
0,0,2.236024798,0.069262895,32.28315549
0,0,2.233465378,0.073351443,30.44882685
0,0,4.157717392,0.117135112,35.49505617
0.001792314,0.124395122,11.25907746,0.162223396,69.40476984
0.007735628,0.612587301,13.79292038,0.174174195,79.19037812
0.004582933,0.314508423,15.68584657,0.228569988,68.6260113
0,0,8.032020065,0.139817628,57.44640479
0,0,4.566981695,0.098636204,46.301272
0.003549893,0.119700967,2.937223295,0.087107305,33.71959785
0.005425572,0.272261022,13.38471573,0.266728363,50.18107403
0.000907405,0.131436356,9.518314173,0.065712161,144.8485948
0.00281014,0.152560056,4.695426205,0.086489251,54.2891303
0,0,2.962364708,0.070507376,42.01496164
0,0,3.627027051,0.116926513,31.01971455
0.007958002,0.539827889,11.12835643,0.164051329,67.83460083
0.003208362,0.166642522,7.352117334,0.141550031,51.94006172
0.003925412,0.298078878,4.347906234,0.057257744,75.93568896
0.005230732,0.269913945,9.73696684,0.188695195,51.60156211
0,0,4.956696509,0.111773476,44.34590986
0.005380412,0.173683756,7.250323761,0.224602074,32.28075166
0,0,8.615834273,0.163242962,52.77920821
0,0,6.967074323,0.211420706,32.95360449
0,0,3.146009338,0.077857569,40.40723805
0,0,44.16417149,0.38519375,114.6544341
0,0,2.400991277,0.038820821,61.8480296
0,0,11.2613844,0.228887725,49.20047325
0,0,1.649917514,0.053642979,30.75738065
0.00210745,0.227666545,16.94214013,0.156828953,108.0294153
0,0,44.17279631,0.278941062,158.3588879
0.005657382,0.643099312,15.18634968,0.133595194,113.6743711
0,0,6.574007363,0.141314534,46.52039077
0.00275567,0.166642522,9.159936115,0.151472515,60.47259543
0,0,3.953493367,0.114952286,34.39247271
0.003587086,0.246443167,7.870575963,0.114559601,68.70289282
0,0,27.30176457,0.277454002,98.4010479
0,0,12.14860937,0.301253958,40.32680419
