loc,scale,statistic,p_value,segment,z_score
64.7303,5.639125985841106,13.35033442065469,0.0001,43,-3.853487234468802
166.8376,10.004810636068349,5.390738191465061,0.0001,100,-6.680546232333847
246.383,11.7145735783857,3.234543881711943,0.0001,154,-7.886159865900184
498.5465,15.453689507749926,2.112671642387795,0.0001,349,-9.677074198042051
263.0851,12.105466212468736,2.99829843732914,0.0001,172,-7.524295091268899
269.7308,11.399680988197137,3.4409721674346656,0.0001,199,-6.204629767555108
168.9462,10.070672639140867,4.198022179161853,0.0001,99,-6.945534077648973
150.2469,9.265501893720288,5.174579593642193,0.0001,86,-6.933990272404291
117.023,8.008750527298304,6.596672709070845,0.0001,63,-6.745496668407809
289.26,12.039879395973488,3.3459971407646663,0.0001,190,-8.244268628903013
83.7124,7.01357293114758,8.448892591080948,0.0001,47,-5.234478968195889
339.219,13.604894277973331,2.5168128753975907,0.0001,235,-7.660404988867366
250.3828,12.024072604246832,3.1488795283894433,0.0001,144,-8.84748483325244
208.4302,11.02738809912977,3.7389151896895783,0.0001,117,-8.291192726518373
349.6285,14.065961498500121,2.3019892481279385,0.0002,220,-9.2157581985293
169.3988,9.844229245854878,4.862362719139128,0.0001,92,-7.862352457160666
185.8968,9.915007841552612,4.474956465470314,0.0001,127,-5.940166759442244
96.1256,6.676816803557128,9.491225638506876,0.0001,65,-4.6617424014715505
207.1753,10.342140295731326,4.199066638073418,0.0001,154,-5.141614644499444
150.2839,9.323453945257999,5.298449925881869,0.0001,93,-6.144064242322465
