organelle,index,segmented,average,standard_deviation
vacuole,87,934.0,926.4314,194.18342383952344
vacuole,88,1014.0,982.08935,225.65733085051215
vacuole,89,1564.0,1548.48315,344.70922473307485
vacuole,90,1470.0,1452.65895,306.0071136998248
vacuole,91,1442.0,1414.57805,318.37248202097726
vacuole,92,779.0,756.70925,224.86162459263141
vacuole,93,672.0,660.7104,146.59397986220307
vacuole,94,1441.0,1410.7413,300.7852367958075
vacuole,95,1053.0,1058.59815,186.73037987049003
vacuole,96,778.0,761.39415,170.60273824231984
vacuole,97,860.0,793.0768,184.63653593414278
vacuole,99,568.0,579.9303,178.98593140777854
vacuole,100,821.0,847.55505,246.119863216071
vacuole,101,870.0,836.79695,134.32179168212988
vacuole,102,984.0,957.4494,245.71416104823913
vacuole,103,872.0,850.05155,193.9340949719711
vacuole,105,420.0,393.71595,88.67104637703054
vacuole,108,1397.0,1379.6954,253.52131847014365
vacuole,109,798.0,805.19715,187.89238590713967
vacuole,112,1008.0,977.8504,259.9017603246273
vacuole,113,454.0,462.65865,97.80601888522762
vacuole,115,247.0,218.93695,74.42483439482751
vacuole,116,555.0,557.35775,132.52852811729818
vacuole,118,613.0,606.63245,151.30524431425866
vacuole,119,702.0,678.5321,221.88675956349897
vacuole,120,951.0,960.7848,221.97592479582104
vacuole,121,730.0,688.8689,153.01668475297063
vacuole,125,431.0,441.102,93.47130894557966
ER,1,1562.0,1704.08945,563.1457416590287
ER,2,707.0,695.6349,317.9424317419586
ER,3,579.0,585.6247,278.96000905131547
ER,4,1074.0,1163.1167,354.3169861594417
ER,5,572.0,559.97975,269.1117917147769
ER,6,412.0,435.50055,197.24739389836688
ER,7,2025.0,2266.2022,645.8066932257361
ER,8,1598.0,1823.5018,510.742397590762
ER,9,1395.0,1538.41175,489.6624705977961
ER,10,1876.0,2127.14255,618.1476952391698
ER,11,2722.0,3103.8029,887.4997724234017
ER,12,1842.0,2091.4215,588.0302081847071
ER,13,1389.0,1551.72565,476.8870518079491
ER,14,1979.0,2216.5338,605.6725061925463
ER,15,1918.0,2178.71705,643.7724637550891
ER,16,495.0,533.0736,176.31686698396157
ER,17,1391.0,1540.07595,438.05592426264195
ER,18,1510.0,1693.86515,467.7710103944851
ER,19,1829.0,2046.67355,605.5417985411061
ER,20,1938.0,2153.81805,653.0608688661399
ER,21,1315.0,1437.1192,421.4650572602194
ER,22,1580.0,1805.1101,519.2482035385293
ER,23,1856.0,2116.06155,545.8869529138772
ER,24,1354.0,1519.5203,489.5816399620292
ER,25,1528.0,1695.54385,569.3763841056086
ER,26,1504.0,1652.0697,522.7159236544359
ER,28,559.0,611.3228,179.67540232363473
ER,29,1187.0,1335.19435,394.5512905543175
ER,30,1334.0,1537.72965,440.0973796341868
ER,31,1481.0,1704.2975,554.0157072626641
ER,32,1701.0,1871.6069,558.4771488363601
ER,33,3039.0,3486.8354,1013.4572699462173
ER,34,1256.0,1392.556,388.99272906315355
ER,35,356.0,385.88685,128.79984994974762
ER,36,1608.0,1845.7526,520.8710601417974
ER,37,1338.0,1463.6824,388.9746884184625
ER,38,1253.0,1417.95695,460.4453974107
ER,39,1249.0,1397.6477,452.2679510917283
ER,40,1997.0,2260.04475,616.4315727211232
ER,42,1237.0,1370.55175,445.91736714545834
ER,43,1554.0,1728.1263,594.5274089125833
ER,44,1739.0,1973.4481,612.9358937983563
ER,46,1920.0,2129.61135,547.1002079154947
ER,47,2288.0,2588.4944,676.5097326488659
ER,48,2039.0,2288.22575,624.0184346531258
ER,49,1713.0,1919.4675,499.2000261856463
ER,50,2108.0,2320.2445,635.7279849273194
ER,51,1963.0,2175.15895,637.7026590699599
ER,52,1807.0,2008.44945,514.0734962480535
ER,53,1626.0,1803.0498,460.19101873022254
ER,56,2068.0,2308.95955,608.9590998694391
ER,57,1644.0,1847.7991,492.1994007911733
ER,59,1892.0,2157.9461,599.4183554870422
ER,60,1235.0,1325.52715,378.6245613571279
ER,61,1510.0,1660.1285,466.5851633815096
ER,62,2171.0,2458.01675,674.1760632575422
ER,63,1609.0,1785.10335,559.6032118999833
ER,66,457.0,522.01175,122.68352583756916
ER,67,1798.0,1985.92275,522.1769330240828
ER,68,1409.0,1597.1579,517.1814796254696
ER,70,1977.0,2223.15355,625.3153644941067
