organelle,index,segmented,average,standard_deviation
golgi,33,593.0,573.7858,178.50852841912067
golgi,34,295.0,277.8558,83.08077338566368
golgi,35,112.0,115.6106,39.4790965909809
golgi,36,287.0,286.7404,92.87923991850923
golgi,37,220.0,223.97925,67.28202151717426
golgi,38,165.0,153.86705,38.998895808695664
golgi,39,207.0,194.30355,53.61873746553065
golgi,40,263.0,261.26805,81.85076969215072
golgi,42,229.0,242.2023,65.91797687057758
golgi,43,283.0,258.8779,76.0369823940298
golgi,44,326.0,328.03845,78.16431520583737
golgi,46,405.0,393.5316,108.20984382873861
golgi,47,350.0,346.02125,101.27475104110353
golgi,48,296.0,304.47975,89.19890128212062
golgi,49,382.0,401.561,113.47101514924417
golgi,50,551.0,548.62405,152.52845934971447
golgi,51,276.0,279.4326,81.25287968583021
golgi,52,212.0,211.62645,68.0157225235276
golgi,53,224.0,210.14615,63.970808891067655
golgi,56,317.0,339.51435,104.22852629715868
golgi,57,281.0,292.7076,87.5762953215081
golgi,59,365.0,366.9485,105.99894597471241
golgi,60,257.0,244.0179,72.70089325166506
golgi,61,313.0,326.38305,95.28908501343426
golgi,62,481.0,495.7859,135.74136053977801
golgi,63,269.0,269.22635,81.07194592260322
golgi,66,82.0,79.1943,20.178167595448304
golgi,67,331.0,326.7732,102.13367741230117
golgi,68,293.0,284.65655,86.00879136517092
golgi,70,276.0,275.42035,71.45823854446387
golgi,72,389.0,389.6485,118.26343918451721
golgi,75,212.0,220.74395,62.94640806588967
golgi,76,291.0,298.7497,90.6252075854726
golgi,77,239.0,235.26035,66.69296940365979
golgi,78,391.0,409.00455,114.44100720151627
golgi,80,180.0,196.9694,59.370828389369805
golgi,81,189.0,185.92425,58.57729263065595
golgi,82,140.0,139.293,45.640067386015104
golgi,85,241.0,229.3703,62.97019594943309
golgi,87,169.0,157.99055,46.62284805433383
golgi,88,109.0,100.3812,29.925727836762803
golgi,89,215.0,218.0453,65.22947146735132
golgi,90,295.0,284.43895,91.35124505389896
golgi,91,313.0,315.1601,93.10836948411244
golgi,92,164.0,166.90695,52.780198859965466
golgi,93,93.0,100.283,29.80996496140175
golgi,94,191.0,175.85055,55.62624663499687
golgi,95,193.0,188.8163,54.77948114312511
golgi,96,196.0,169.00425,54.062753647381854
golgi,97,136.0,129.18995,39.6223039334855
golgi,99,213.0,228.32075,66.95813594655618
golgi,100,165.0,172.02925,55.50530960581609
golgi,101,119.0,124.5389,38.71901712066049
golgi,102,89.0,82.1984,32.16986691672815
golgi,103,396.0,421.56985,124.51196135704191
golgi,105,279.0,264.17485,77.90977459521686
golgi,108,193.0,179.3365,58.651245236141406
golgi,109,252.0,220.20515,64.51612560807956
golgi,112,178.0,158.99275,51.70451331786714
golgi,113,167.0,154.40815,48.47387093659325
golgi,115,115.0,110.057,33.93448763426376
golgi,116,157.0,156.94455,42.98775029351385
golgi,118,178.0,184.72445,46.35512832683671
golgi,119,245.0,241.5046,66.01900619397416
golgi,120,162.0,157.3254,53.383266243646055
golgi,121,70.0,61.1068,22.036807703476473
golgi,125,197.0,201.7781,60.04417257644575
mitochondria,1,1715.0,1521.30995,258.8067755701104
mitochondria,2,1132.0,870.0748,233.37728103857924
mitochondria,3,1286.0,1082.61225,223.90518529042043
mitochondria,4,1226.0,1159.57515,164.5592551407471
mitochondria,5,1449.0,1197.5197,293.5619188721691
mitochondria,6,928.0,824.96945,155.1533918955609
mitochondria,7,2204.0,2012.90085,294.75480457369565
mitochondria,8,1531.0,1479.32535,180.80012831128604
mitochondria,9,1645.0,1507.44995,223.57754895113575
mitochondria,10,1739.0,1656.9381,190.84355207444133
mitochondria,11,2161.0,1948.154,293.55973852693086
mitochondria,12,1523.0,1446.2339,187.41458238565642
mitochondria,13,1711.0,1609.00675,227.49905451328257
mitochondria,14,2014.0,1866.3628,246.51575096970984
mitochondria,15,1683.0,1537.536,235.08704622756227
mitochondria,16,717.0,687.42255,88.17563836739431
mitochondria,17,1630.0,1583.4483,169.82083743495673
mitochondria,18,1632.0,1600.02305,190.64442719024726
mitochondria,19,1720.0,1609.25455,228.6593891671573
mitochondria,20,2181.0,2063.19845,240.19040752619057
mitochondria,21,1442.0,1403.1621,164.2003673065015
mitochondria,22,1548.0,1402.23485,225.60508348766768
mitochondria,23,1761.0,1697.41,213.66610142930958
mitochondria,24,1277.0,1096.87145,193.02607161960663
mitochondria,25,1466.0,1347.2024,217.99149509611607
mitochondria,26,1253.0,1161.0521,154.881967593358
mitochondria,28,654.0,610.01785,86.07965166854186
mitochondria,29,1032.0,954.57085,134.48805590191827
mitochondria,30,1262.0,1194.4322,143.72542260560587
mitochondria,31,1524.0,1408.11935,205.60453449663385
mitochondria,32,1644.0,1475.52345,215.2834109960577
mitochondria,33,2468.0,2181.68285,388.201885706236
mitochondria,34,1189.0,1068.7937,164.35640005886597
mitochondria,35,567.0,526.67815,75.68420880591604
mitochondria,36,1380.0,1209.2963,184.06047757818627
mitochondria,37,1025.0,953.7856,151.1190257136407
mitochondria,38,916.0,729.2542,164.54923725851788
mitochondria,39,1026.0,877.70535,167.48495703010911
mitochondria,40,1588.0,1409.3472,251.54755843013066
mitochondria,42,1327.0,1252.9293,165.14659276385328
mitochondria,43,1563.0,1410.4053,203.3514394635799
mitochondria,44,1628.0,1478.30735,231.74891711932014
mitochondria,46,1663.0,1487.893,237.49586765036565
mitochondria,47,1966.0,1789.497,280.7963594689219
mitochondria,48,1720.0,1571.25045,210.77129222168162
mitochondria,49,1851.0,1788.44205,203.53646735117886
mitochondria,50,1925.0,1769.8016,253.86035440265186
mitochondria,51,1577.0,1418.4837,228.95726617495677
mitochondria,52,1706.0,1636.83535,201.54837890783816
mitochondria,53,1725.0,1602.2936,225.28012295593234
mitochondria,56,1624.0,1540.3888,197.16371733805386
mitochondria,57,1352.0,1254.06165,165.7501503748262
mitochondria,59,1713.0,1590.95165,223.47497826888247
mitochondria,60,1083.0,949.3205,151.87683852302825
mitochondria,61,1272.0,1133.7663,176.0169582293422
mitochondria,62,2016.0,1847.7719,267.47847870509133
mitochondria,63,1506.0,1386.23395,171.1679912173929
mitochondria,66,424.0,390.3052,41.83533976149829
mitochondria,67,1677.0,1622.55705,197.39727061258347
mitochondria,68,1272.0,1119.18835,148.63619873462017
mitochondria,70,1692.0,1523.66975,234.31258093610234
mitochondria,72,1925.0,1766.0187,223.01410146066996
mitochondria,75,1118.0,1065.80445,134.82064163249447
mitochondria,76,1568.0,1462.3999,208.9397575378846
mitochondria,77,1336.0,1213.1405,188.0130802889788
mitochondria,78,1857.0,1671.4682,254.9838161310635
mitochondria,80,1204.0,1076.43525,162.35382135150837
mitochondria,81,1403.0,1216.67385,209.01551324286316
mitochondria,82,1439.0,1200.9755,249.1417353631262
mitochondria,85,1501.0,1368.0451,184.36071264233604
mitochondria,87,1419.0,1234.12525,232.66545996868015
mitochondria,88,1053.0,922.0297,159.1719291141186
mitochondria,89,1590.0,1301.6802,303.9130780798352
mitochondria,90,1608.0,1538.09225,169.62076152386976
mitochondria,91,1646.0,1391.94235,271.06084229648053
mitochondria,92,1231.0,1010.439,212.24851537525532
mitochondria,93,1346.0,1245.5064,153.1453710010198
mitochondria,94,1403.0,1141.8529,227.58006736441132
mitochondria,95,1255.0,1222.7064,136.81677236011674
mitochondria,96,1539.0,1468.86285,178.01449362306852
mitochondria,97,1287.0,1102.0048,198.09106183005835
mitochondria,99,1680.0,1582.8353,186.40802309425953
mitochondria,100,1450.0,1305.94635,193.86126320561695
mitochondria,101,574.0,472.87555,101.73896334343839
mitochondria,102,1316.0,1067.2925,243.67539092766427
mitochondria,103,2334.0,2188.3654,302.2027813949435
mitochondria,105,1341.0,1226.12465,172.83954267579367
mitochondria,108,1509.0,1354.08475,217.44217706654223
mitochondria,109,1472.0,1404.34585,189.92457934079385
mitochondria,112,1708.0,1568.6506,225.85728839167447
mitochondria,113,1023.0,1027.92795,123.69488857183023
mitochondria,115,1088.0,950.17305,164.54043698646694
mitochondria,116,1257.0,1204.0909,150.13058195181287
mitochondria,118,1067.0,1033.6007,135.3523097679164
mitochondria,119,1492.0,1406.92485,202.6753263287801
mitochondria,120,1300.0,1131.5155,197.6175522562457
mitochondria,121,883.0,721.5016,167.9393018249153
mitochondria,125,1134.0,1041.9227,156.0920021164121
LD,1,233.0,159.5989,69.31249468018014
LD,2,70.0,0.849,5.658215177951436
LD,3,88.0,18.81765,9.584659538945553
LD,4,133.0,75.77105,26.349516729866224
LD,5,77.0,0.1638,2.5779002230497596
