loc,scale,statistic,p_value,segment,z_score
1483.6361,22.624611910404333,1.125643289040454,0.0073,1198,-12.625016558566694
602.0009,12.316861195002959,2.947152452021328,0.0001,508,-7.631887581727141
2018.977,23.642727610343222,1.066849242319222,0.0078,1657,-15.310289318802724
1166.4745,20.137792898435567,1.3589246764877316,0.0019,978,-9.3592431380423
2043.3819,24.791432268051597,0.8885889835910348,0.0243,1728,-12.721407000209048
1506.6413,22.4037413632792,1.63935299174409,0.0003,1223,-12.660443423298112
2883.9802,28.368642652559092,0.6724941068077896,0.082,2408,-16.778391755626085
1904.7247,22.403430569449135,1.4480257832510688,0.0011,1622,-12.61970567960886
1871.317,23.62600113842754,1.130276777301333,0.0059,1571,-12.711292031199319
1939.9128,23.549943867143604,1.599892371439637,0.0006,1592,-14.773402516912189
1907.104,22.56519671552369,1.057913685508538,0.0077,1578,-14.584583690936471
1974.3017,24.338202725780555,0.9392362390681228,0.0188,1616,-14.721781391871811
1816.9764,22.715317334436698,1.0445437846992718,0.0087,1520,-13.073838926730739
634.7982,14.256353009101309,3.2714330867693207,0.0001,518,-8.192712394638065
2058.3596,24.939849387050135,1.1362320508669654,0.0061,1664,-15.812429092084598
1416.8489,20.99653195709764,1.2561095204109733,0.0024,1135,-13.423593028406014
1889.1164,23.036642978784325,1.0660079039062111,0.0082,1584,-13.244829130746094
1693.6635,22.728707115951764,1.2669617714855121,0.0024,1393,-13.228359117223366
2501.214,26.662739809881074,0.9001761876788805,0.0194,2006,-18.57326004495893
2583.7371,27.462556377553035,0.9267715811292874,0.0187,2154,-15.648109887951014
1701.2783,21.738866275422325,1.0578033363599388,0.0092,1451,-11.512941697560432
965.6978,17.056423051646313,1.6822838497118937,0.0004,794,-10.066459976989577
1816.3669,22.649895941673037,1.1103513677917363,0.0062,1509,-13.570344905403406
1222.1566,20.54903167329962,1.2638836592850566,0.0035,1028,-9.44845494847708
303.7569,10.373541508392524,4.17785187636764,0.0001,237,-6.4353046590686045
219.2735,8.5825907415176,5.884377660966493,0.0001,165,-6.323673309675162
1330.2208,22.71399656432114,1.170235237761517,0.0047,1077,-11.148227450106958
41.6603,3.9972367580830155,26.892027410513037,0.0001,30,-2.9170901564489804
967.2504,18.45482478637469,1.9537455444351508,0.0001,769,-10.742469912061669
2246.0824,26.392674505755508,0.8417299672692025,0.0284,1860,-14.628392431991156
296.2462,11.03624779698896,3.7049367924591934,0.0001,229,-6.093212225476388
878.0901,16.94859603273227,2.0296918234907935,0.0002,698,-10.625664783808517
468.9113,14.338800243717843,2.329120987244096,0.0001,379,-6.270489753101358
1477.3287,22.535537298989244,1.0823399914206675,0.0058,1207,-11.995662513541433
1090.8849,19.32443518888811,1.5204266241744335,0.001,912,-9.256927731728066
1273.1813,21.643009779077165,1.1606085539733613,0.0053,1018,-11.79047196322436
676.6595,17.620335052737705,2.0924836230060464,0.0002,477,-11.331197698705424
1574.9589,23.060194883148863,0.8835691247968498,0.0216,1289,-12.40054134186712
1287.9975,19.715297691039428,1.1955192613349936,0.0051,1069,-11.107998643080798
1087.7408,20.869354766183733,1.188520403127768,0.0034,844,-11.67936444278347
568.4838,14.115766470380013,2.722465790428032,0.0001,438,-9.243833855837883
1026.8496,19.22197513974116,1.2597703936771723,0.0024,827,-10.396933642204843
1710.2447,23.6824599186989,1.0728848101716721,0.0083,1426,-12.0023300356383
2218.4848,28.905690146617932,0.6149168163119612,0.1113,1703,-17.833333069901247
1362.0252,21.631859806680275,1.2069220057583152,0.003,1103,-11.974245502460624
1110.4277,20.825266910274845,1.3602892575363512,0.0008,867,-11.6890554655939
1161.1025,20.790046088251827,1.7528728064244206,0.0006,909,-12.126115494398046
732.9339,17.135048636615473,2.1124939969959087,0.0001,581,-8.86684964963193
472.1929,12.852937772779386,2.6618351937468105,0.0001,383,-6.939495201548189
1344.3695,23.11367114781624,1.1297423974210687,0.0063,985,-15.547919571138872
505.9828,13.92543341981114,3.029787518438752,0.0001,404,-7.323491982297173
1140.1509,20.596299423561373,1.3871956557122758,0.0007,944,-9.523599165372932
1267.2182,22.37220687201047,1.2828987149423483,0.0023,955,-13.955628149970824
1387.1707,22.081569715083848,0.9933230477563484,0.0162,1166,-10.016076884648237
1794.7444,25.240344215909847,1.1686981302627828,0.0034,1464,-13.103799107126305
728.6001,16.711113251983306,2.0661974652684876,0.0001,580,-8.892292078887316
979.7821,18.643893881587793,1.3257877390242356,0.002,784,-10.501137865483622
303.7096,11.340808138440721,3.461688264984332,0.0001,230,-6.499501543470654
731.0818,15.701667522791954,1.8461944129267067,0.0002,573,-10.06783513728936
829.5415,17.946171855257205,1.9198447443814075,0.0001,644,-10.338778737686441
