loc,scale,statistic,p_value,segment,z_score
92.1531,6.58808019608649,9.833567511641377,0.0001,66,-3.9697604190573896
212.2278,9.074708931652818,5.255226083485468,0.0001,168,-4.873743095575473
82.6082,5.911157834019818,11.931116138328434,0.0001,62,-3.486322067293814
274.5831,10.521557142670027,4.190584077499807,0.0001,214,-5.757997526269766
457.4754,13.276144788380556,2.7645768789425347,0.0001,378,-5.986331217896766
353.4499,12.084845648142716,3.0616656003476237,0.0001,262,-7.56732048241383
356.9333,12.134577697950217,3.001963556123883,0.0001,271,-7.081688554725386
177.5577,8.087188075659988,6.539586916607732,0.0001,145,-4.025836878703109
408.393,12.917439259532145,2.5904232456814498,0.0001,328,-6.2236019372551485
189.5897,9.12153902351,5.949663085559223,0.0001,123,-7.30027025355816
330.8512,11.71996562791171,3.87870207584092,0.0001,234,-8.263778501990126
238.5925,9.65053143747548,4.807775464623774,0.0001,184,-5.6569423511749175
546.2678,14.732270264243521,2.0318059546298173,0.0002,442,-7.077510670780105
374.5949,12.14519429916444,3.140176100519966,0.0001,289,-7.047635294388721
223.4313,9.909929413477071,4.491434910518365,0.0001,169,-5.49260219007976
400.7494,12.402063568538736,3.34472717753124,0.0001,326,-6.027174396172465
301.9475,11.176977956210852,3.642067911066988,0.0001,240,-5.542419448503685
330.2456,11.739781211176323,3.2726364742429723,0.0001,239,-7.772342461811283
289.1595,10.611461730695078,4.03343584698996,0.0001,228,-5.763532070524074
127.1914,7.428935653813058,7.733910236787779,0.0001,93,-4.602462801309976
350.1982,11.850930816443139,3.1496281650652236,0.0001,276,-6.260959678968859
286.7647,10.874537206977894,3.9901072615812154,0.0001,216,-6.5073757763771525
341.9253,11.804450618959,3.3744686314021237,0.0001,274,-5.754211033837178
318.7333,10.958475255618035,3.6055589537027117,0.0001,260,-5.3596233627383
423.896,12.85298035128005,3.0837924097522773,0.0001,334,-6.99417547861163
326.5394,11.453268763830598,3.904793209510899,0.0001,262,-5.635020126639768
314.8721,10.79567488625074,3.930203300127687,0.0001,250,-6.009082404159876
161.4281,8.221154975361607,6.479970539970964,0.0001,125,-4.431019742259234
318.543,11.577588481868993,3.3318187361255696,0.0001,249,-6.006691299220677
158.4267,8.156303061924795,6.434006228024373,0.0001,118,-4.956498022826014
307.2629,10.792619313825783,3.8030550215989933,0.0001,244,-5.861681780896103
260.2984,9.763979258944426,4.7688883191294735,0.0001,214,-4.741755259013659
229.8333,9.976455486614856,4.545682996964388,0.0001,151,-7.901934720780194
77.9929,5.867307058541586,12.32617803291214,0.0001,54,-4.089252490215474
190.873,8.47888318978476,5.953452680485498,0.0001,159,-3.759103561940815
287.4292,11.408242728843739,3.9340968502419855,0.0001,211,-6.6994717606036
26.4219,4.298389001102679,24.282699935278288,0.0001,10,-3.8204778571197813
164.1508,8.26887518285764,6.048764583059892,0.0001,127,-4.492848081322841
80.3415,6.503484241599119,10.481495856998663,0.0001,44,-5.588004621821628
330.0184,11.342130568485944,3.8221526706274744,0.0001,269,-5.379800526149762
196.8987,9.219638739335094,5.0267475694145105,0.0001,145,-5.6291468101214175
209.8807,9.421122187103109,4.776841377035453,0.0001,145,-6.886727367660868
136.8744,8.24507263535478,6.318640619980215,0.0001,94,-5.200002704179349
243.3866,11.055277579339002,3.784523179232565,0.0001,169,-6.728605362114081
231.6128,9.787821836630995,4.5099597200733115,0.0001,178,-5.477500601753262
122.186,7.626507743524306,7.874915204994977,0.0001,74,-6.318226063680969
118.7386,6.635832537620788,9.918140700261574,0.0001,95,-3.577335604148812
124.1678,7.365274461063122,8.260728442368418,0.0001,82,-5.725217739396149
